"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.551","0.000","-269.700","14000.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.957","0.000","-310.200","13992.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.341","0.010","-290.100","13998.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.794","0.018","-261.000","13995.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.250","0.023","-357.900","13999.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.512","0.028","-262.800","13997.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.063","0.033","-315.000","13997.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.260","0.037","-250.800","13998.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.394","0.041","-95.700","13994.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.785","0.045","-155.400","14000.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.021","0.048","-212.400","13995.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.074","0.052","-147.600","14002.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.241","0.055","-155.400","13995.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.471","0.058","-154.200","14003.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.535","0.061","-159.900","13995.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.647","0.064","-133.500","13994.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.733","0.067","-150.600","13954.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.776","0.069","-137.700","13905.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.809","0.073","-134.400","13845.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.822","0.077","-147.300","13786.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.756","0.081","-107.700","13722.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.786","0.085","-149.400","13654.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.756","0.088","-141.600","13590.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.760","0.092","-192.000","13514.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.646","0.095","-132.000","13445.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.596","0.098","-152.400","13359.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.511","0.101","-138.600","13285.3","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.371","0.104","-129.600","13200.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.292","0.106","-135.900","13127.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.105","0.109","-111.900","13053.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.012","0.112","-135.000","12982.5","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.810","0.114","-83.100","12923.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.759","0.117","-140.100","12857.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.495","0.119","-80.100","12810.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.400","0.122","-100.200","12753.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.252","0.124","-110.100","12709.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.032","0.127","-71.400","12661.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.962","0.130","-115.800","12611.2","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.709","0.132","-60.600","12568.2","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.678","0.135","-114.900","12511.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.403","0.137","-61.200","12465.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.372","0.140","-85.800","12405.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.209","0.143","-102.300","12347.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.014","0.146","-44.400","12288.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.020","0.148","-114.000","12218.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.751","0.151","-62.700","12157.9","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.743","0.154","-89.100","12083.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.551","0.157","-80.400","12015.5","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.466","0.160","-70.500","11945.2","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.379","0.162","-99.900","11868.5","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.191","0.165","-53.100","11802.1","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.204","0.168","-102.000","11724.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.999","0.171","-74.100","11653.8","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.946","0.173","-60.900","11584.3","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.879","0.176","-108.300","11508.5","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.700","0.179","-52.200","11445.5","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.692","0.181","-82.200","11375.5","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.548","0.184","-93.900","11309.7","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.435","0.186","-46.200","11252.3","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.415","0.189","-96.900","11185.5","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.250","0.192","-66.000","11128.1","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.196","0.195","-48.900","11069.0","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.165","0.198","-108.000","11003.0","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.003","0.202","-45.600","10946.9","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.057","0.205","-92.700","10880.7","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.958","0.209","-97.800","10812.7","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.894","0.213","-60.300","10751.0","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.933","0.217","-123.900","10677.9","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.818","0.221","-95.100","10606.9","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.821","0.225","-78.000","10540.4","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.843","0.229","-135.300","10462.4","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.751","0.233","-94.500","10390.6","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.793","0.237","-96.600","10320.4","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.808","0.242","-150.300","10241.2","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.709","0.246","-86.700","10170.5","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.791","0.250","-118.500","10099.7","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.769","0.255","-153.600","10021.4","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.693","0.259","-89.400","9951.6","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.791","0.264","-132.300","9881.2","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.750","0.268","-150.900","9803.2","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.695","0.273","-98.400","9732.4","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.773","0.277","-133.800","9661.9","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.764","0.282","-157.200","9582.8","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.687","0.286","-101.100","9509.1","8.000","9.000","6.491","4.381","0.166"
