"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.528","0.000","-259.800","13997.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.916","0.000","-313.200","13993.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.353","0.010","-250.200","13999.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.769","0.018","-327.300","13993.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.066","0.023","-302.700","14001.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.630","0.028","-267.000","13993.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.848","0.033","-334.800","14001.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.081","0.037","-210.900","13993.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.328","0.041","-125.100","14001.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.658","0.045","-150.900","13994.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.732","0.048","-207.300","14001.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.838","0.052","-168.900","13997.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.078","0.055","-139.500","14000.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.208","0.058","-161.700","13999.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.292","0.062","-172.800","13998.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.349","0.065","-133.200","13992.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.448","0.068","-150.600","13954.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.467","0.071","-133.800","13906.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.484","0.074","-156.900","13840.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.427","0.079","-127.800","13786.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.481","0.083","-130.200","13713.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.407","0.087","-135.900","13653.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.447","0.091","-168.300","13579.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.360","0.095","-193.200","13511.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.333","0.099","-144.000","13432.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.254","0.102","-164.400","13352.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.173","0.105","-133.500","13274.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.061","0.109","-161.400","13191.9","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.931","0.112","-124.800","13122.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.856","0.115","-141.900","13044.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.652","0.118","-120.900","12983.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.626","0.121","-122.100","12916.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.366","0.124","-139.200","12862.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.328","0.127","-84.000","12810.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.156","0.130","-138.600","12759.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.993","0.134","-93.300","12717.1","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.903","0.137","-114.900","12662.9","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.717","0.140","-95.700","12621.5","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.654","0.143","-107.100","12567.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.394","0.146","-114.300","12517.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.392","0.149","-74.100","12465.1","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.167","0.152","-128.700","12403.6","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.069","0.155","-74.400","12349.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.981","0.158","-104.400","12280.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.795","0.161","-94.200","12218.8","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.755","0.164","-88.200","12149.6","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.538","0.167","-110.700","12076.9","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.524","0.171","-66.900","12012.0","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.356","0.174","-118.200","11933.9","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.250","0.177","-79.200","11866.1","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.193","0.180","-87.900","11792.8","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.018","0.183","-105.600","11716.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.992","0.186","-68.400","11650.6","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.845","0.189","-108.600","11573.6","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.753","0.192","-81.600","11506.7","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.695","0.195","-77.400","11440.0","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.549","0.198","-108.900","11369.0","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.483","0.201","-67.500","11312.1","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.417","0.204","-88.500","11246.6","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.276","0.207","-95.700","11184.5","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.251","0.210","-56.700","11129.3","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.131","0.213","-105.300","11062.5","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.042","0.217","-74.400","11004.1","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.057","0.220","-73.200","10943.0","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.896","0.224","-132.000","10872.8","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.896","0.228","-63.000","10812.4","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.874","0.232","-111.300","10742.2","8.000","8.000","7.580","4.724","0.132"
