"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.640","0.000","-261.300","13995.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.130","0.000","-328.200","13995.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.387","0.010","-281.700","13997.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.903","0.018","-270.000","13993.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.318","0.023","-327.000","13999.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.655","0.028","-286.500","13994.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.065","0.032","-299.700","14001.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.328","0.037","-225.000","13994.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.534","0.041","-128.100","14002.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.816","0.044","-137.100","13994.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.114","0.048","-213.900","14001.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.112","0.051","-150.000","13996.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.343","0.055","-160.800","14001.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.476","0.058","-154.800","13998.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.574","0.061","-173.400","14000.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.612","0.064","-123.300","13991.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.748","0.067","-162.300","13955.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.732","0.069","-116.400","13904.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.815","0.073","-159.000","13840.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.759","0.077","-122.700","13783.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.752","0.081","-132.900","13711.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.717","0.085","-132.900","13650.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.676","0.089","-154.500","13575.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.657","0.092","-200.700","13508.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.512","0.095","-123.600","13425.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.524","0.099","-166.500","13348.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.357","0.102","-117.600","13268.3","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.303","0.105","-162.300","13188.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.099","0.108","-105.600","13118.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.062","0.111","-147.300","13041.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.828","0.113","-111.900","12981.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.731","0.116","-99.600","12914.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.601","0.119","-144.900","12863.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.377","0.122","-70.200","12810.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.342","0.125","-132.900","12760.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.088","0.127","-73.800","12716.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.049","0.130","-119.100","12663.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.780","0.133","-81.600","12621.5","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.748","0.136","-86.700","12565.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.552","0.139","-121.800","12517.7","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.377","0.142","-51.300","12462.1","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.352","0.145","-126.600","12402.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.084","0.148","-64.500","12346.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.078","0.151","-98.100","12276.2","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.857","0.154","-93.300","12215.7","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.795","0.157","-75.600","12144.1","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.648","0.159","-111.600","12072.8","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.500","0.162","-55.800","12006.8","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.467","0.165","-108.600","11928.3","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.252","0.168","-82.500","11861.5","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.218","0.171","-74.100","11786.1","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.081","0.174","-107.700","11711.7","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.960","0.177","-66.000","11645.0","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.892","0.180","-94.800","11567.7","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.755","0.183","-92.100","11502.4","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.667","0.186","-66.000","11433.6","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.582","0.189","-103.200","11364.4","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.459","0.192","-75.000","11306.6","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.377","0.194","-75.300","11240.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.298","0.197","-96.600","11179.7","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.172","0.201","-61.500","11123.0","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.136","0.204","-85.200","11055.8","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.005","0.207","-90.000","10998.7","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.976","0.211","-70.500","10935.5","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.908","0.215","-113.400","10866.4","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.798","0.219","-86.700","10805.6","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.795","0.223","-93.300","10734.3","8.000","8.000","7.580","4.724","0.132"
