"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.549","0.000","-264.300","13991.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.992","0.000","-306.000","13998.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.409","0.010","-276.300","13993.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.820","0.018","-309.600","13998.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.304","0.023","-248.700","13996.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.729","0.028","-350.400","13998.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.997","0.032","-261.600","13998.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.347","0.037","-248.100","13996.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.485","0.041","-104.100","13999.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.901","0.044","-164.100","13995.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.040","0.048","-181.800","14001.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.199","0.051","-183.600","13995.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.337","0.054","-128.100","14003.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.580","0.058","-165.900","13995.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.595","0.060","-164.700","14003.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.717","0.063","-134.700","13987.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.741","0.066","-158.400","13959.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.789","0.069","-118.800","13900.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.784","0.072","-180.900","13844.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.686","0.076","-102.300","13781.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.708","0.080","-158.700","13717.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.600","0.084","-109.800","13651.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.615","0.087","-188.100","13578.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.467","0.091","-147.900","13511.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.463","0.094","-169.800","13429.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.283","0.097","-135.300","13356.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.264","0.101","-135.600","13270.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.067","0.104","-149.700","13198.1","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.975","0.107","-103.500","13119.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.826","0.110","-162.300","13050.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.635","0.113","-79.800","12986.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.594","0.116","-158.100","12922.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.295","0.119","-94.800","12873.5","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.289","0.122","-114.600","12814.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.023","0.125","-111.900","12771.7","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.969","0.128","-86.100","12719.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.756","0.131","-131.400","12673.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.616","0.134","-60.600","12626.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.546","0.137","-137.700","12571.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.285","0.140","-73.800","12525.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.302","0.143","-104.100","12464.7","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.031","0.146","-104.100","12412.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.018","0.150","-70.500","12349.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.825","0.153","-131.400","12284.2","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.706","0.156","-57.900","12223.3","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.659","0.159","-128.100","12148.7","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.407","0.163","-87.000","12085.2","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.421","0.166","-81.900","12011.3","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.221","0.169","-123.600","11938.8","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.145","0.172","-62.400","11871.3","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.065","0.176","-113.700","11792.2","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.920","0.179","-85.200","11726.1","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.885","0.182","-88.200","11652.1","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.727","0.185","-112.500","11579.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.643","0.188","-70.800","11515.6","7.000","8.000","9.020","5.156","0.108"
