"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.475","0.000","-253.200","13992.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.964","0.000","-318.600","13999.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.285","0.010","-276.900","13994.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.785","0.018","-297.000","13999.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.145","0.023","-308.700","13996.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.545","0.028","-300.600","13999.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.981","0.032","-275.700","13998.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.281","0.037","-272.400","13995.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.358","0.041","-68.700","13999.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.829","0.044","-171.600","13994.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.986","0.048","-200.100","14002.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.078","0.051","-149.100","13996.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.273","0.055","-160.500","14003.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.456","0.058","-150.600","13995.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.561","0.061","-170.100","14002.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.610","0.064","-118.200","13987.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.761","0.066","-169.500","13959.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.711","0.069","-116.100","13901.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.825","0.072","-160.800","13845.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.741","0.076","-113.700","13782.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.760","0.080","-150.600","13717.5","6.000","6.000","12.313","6.500","0.040"
