"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.383","0.000","-272.100","13999.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.823","0.000","-298.500","13992.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.142","0.010","-301.200","14000.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.577","0.018","-280.500","13992.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.964","0.023","-291.300","14001.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.354","0.028","-308.100","13992.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.664","0.033","-305.100","14000.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.838","0.037","-228.300","13994.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.083","0.041","-117.000","14001.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.399","0.045","-136.800","13996.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.543","0.049","-215.400","13999.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.638","0.052","-136.800","13998.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.868","0.056","-171.900","13997.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.912","0.059","-158.700","13999.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.051","0.062","-158.100","13996.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.111","0.065","-144.300","13993.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.195","0.068","-153.000","13953.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.270","0.071","-110.100","13906.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.344","0.075","-158.700","13841.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.323","0.080","-121.800","13786.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.398","0.084","-118.500","13715.7","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.419","0.088","-134.100","13654.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.516","0.093","-143.700","13581.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.507","0.096","-207.300","13512.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.481","0.100","-120.300","13436.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.559","0.103","-164.700","13353.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.483","0.107","-130.200","13278.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.462","0.110","-159.600","13193.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.341","0.113","-118.800","13125.0","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.325","0.115","-142.200","13046.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.123","0.118","-128.700","12983.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.104","0.120","-103.800","12918.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.874","0.123","-149.700","12861.5","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.747","0.125","-72.600","12812.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.637","0.127","-133.500","12758.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.385","0.129","-86.700","12716.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.312","0.132","-100.200","12663.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.049","0.134","-91.800","12621.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.000","0.136","-76.800","12569.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.723","0.138","-108.900","12516.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.618","0.141","-49.500","12467.3","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.469","0.143","-108.600","12404.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.241","0.145","-63.000","12351.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.199","0.148","-81.000","12283.2","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.929","0.150","-85.800","12219.2","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.890","0.153","-55.200","12153.0","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.680","0.156","-96.600","12078.6","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.567","0.158","-56.700","12014.6","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.463","0.161","-92.400","11937.7","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.263","0.163","-73.200","11867.6","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.241","0.166","-62.700","11796.7","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.049","0.169","-91.500","11719.4","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.976","0.172","-58.500","11653.8","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.880","0.174","-84.300","11578.2","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.736","0.177","-73.800","11508.6","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.700","0.180","-66.900","11444.5","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.561","0.182","-89.400","11372.5","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.456","0.185","-65.700","11314.8","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.409","0.188","-69.300","11251.4","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.261","0.190","-93.300","11187.3","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.205","0.193","-45.900","11132.9","7.000","8.000","8.300","4.940","0.120"
