"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.623","0.000","-285.600","13998.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.023","0.000","-320.400","13992.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.382","0.010","-265.800","13999.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.831","0.018","-294.000","13993.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.291","0.023","-319.500","14002.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.619","0.028","-281.700","13994.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.066","0.033","-324.300","14001.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.265","0.037","-199.200","13993.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.548","0.041","-140.100","14000.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.791","0.045","-143.400","13996.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.085","0.048","-205.800","14000.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.129","0.052","-155.100","13998.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.347","0.055","-165.600","13999.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.470","0.058","-159.900","13999.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.569","0.061","-153.600","13997.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.668","0.064","-150.000","13993.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.709","0.067","-152.100","13953.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.743","0.070","-132.000","13906.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.765","0.073","-129.900","13840.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.792","0.077","-158.100","13786.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.681","0.081","-103.500","13715.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.743","0.085","-150.300","13655.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.639","0.089","-150.300","13581.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.667","0.092","-197.700","13511.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.495","0.096","-129.000","13434.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.505","0.099","-153.600","13354.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.376","0.102","-138.600","13277.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.279","0.105","-132.900","13194.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.146","0.108","-136.500","13126.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.991","0.111","-119.700","13048.5","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.877","0.114","-125.700","12988.5","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.691","0.116","-101.400","12923.6","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.632","0.119","-135.300","12869.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.348","0.122","-89.400","12818.6","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.296","0.125","-109.800","12765.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.092","0.128","-105.000","12723.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.949","0.130","-94.200","12669.5","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.793","0.133","-96.000","12627.5","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.644","0.136","-92.400","12574.0","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.530","0.139","-102.900","12523.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.298","0.142","-72.000","12471.6","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.276","0.145","-106.500","12409.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.050","0.148","-87.600","12355.6","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.970","0.151","-83.100","12287.0","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.833","0.154","-95.700","12224.5","7.000","7.000","10.167","5.567","0.088"
