"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.292","0.000","-312.000","13996.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.715","0.000","-288.000","13992.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.189","0.010","-256.200","13999.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.521","0.018","-336.600","13993.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.861","0.023","-282.300","14000.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.332","0.028","-286.800","13993.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.574","0.032","-320.100","14001.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.807","0.037","-203.700","13993.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.084","0.041","-115.200","14001.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.443","0.045","-141.000","13994.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.520","0.048","-192.900","14000.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.723","0.052","-146.400","13997.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.918","0.055","-157.500","14000.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.057","0.059","-146.400","13999.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.207","0.062","-159.900","13998.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.316","0.065","-134.700","13992.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.404","0.068","-152.100","13954.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.486","0.071","-114.900","13905.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.528","0.074","-156.900","13839.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.484","0.079","-126.600","13783.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.574","0.083","-127.800","13711.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.515","0.087","-134.400","13651.1","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.575","0.090","-162.900","13575.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.463","0.094","-194.700","13507.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.464","0.097","-139.500","13427.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.382","0.100","-162.600","13347.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.279","0.104","-140.400","13268.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.145","0.106","-155.400","13186.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.032","0.109","-117.000","13117.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.914","0.112","-147.600","13039.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.734","0.115","-111.600","12978.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.685","0.118","-113.400","12911.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.403","0.120","-137.700","12857.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.372","0.123","-78.000","12805.2","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.160","0.126","-129.300","12752.7","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.021","0.129","-87.600","12710.2","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.864","0.131","-112.800","12655.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.705","0.134","-83.400","12613.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.620","0.137","-97.200","12558.3","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.359","0.140","-111.900","12507.8","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.370","0.143","-60.300","12454.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.111","0.146","-124.800","12392.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.051","0.149","-62.400","12337.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.921","0.152","-99.600","12267.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.755","0.155","-90.600","12205.2","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.729","0.158","-71.100","12135.7","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.497","0.161","-116.100","12062.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.499","0.164","-55.200","11997.3","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.335","0.167","-108.000","11918.5","7.000","7.000","9.722","5.389","0.096"
