"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.563","0.000","-332.400","13996.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.867","0.000","-273.600","13994.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.311","0.010","-277.500","13998.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.722","0.018","-319.200","13993.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.065","0.023","-266.400","14001.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.544","0.028","-300.300","13994.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.909","0.033","-310.200","14002.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.149","0.037","-190.800","13993.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.395","0.041","-150.600","14001.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.646","0.045","-122.400","13993.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.950","0.049","-223.500","14001.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.944","0.052","-136.200","13996.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.220","0.055","-168.600","14001.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.333","0.059","-150.000","13998.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.481","0.062","-155.100","14000.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.545","0.065","-148.500","13991.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.630","0.068","-149.400","13954.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.646","0.070","-132.000","13903.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.691","0.074","-147.900","13838.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.673","0.078","-151.500","13782.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.587","0.082","-108.300","13709.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.620","0.086","-151.800","13647.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.513","0.090","-153.600","13570.6","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.545","0.094","-196.500","13503.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.355","0.097","-138.600","13420.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.377","0.100","-153.900","13342.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.213","0.104","-148.200","13262.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.136","0.107","-134.100","13181.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.998","0.110","-143.700","13112.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.853","0.113","-130.500","13034.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.703","0.116","-126.300","12975.5","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.538","0.119","-108.900","12909.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.454","0.122","-137.700","12859.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.187","0.125","-90.900","12806.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.159","0.128","-113.400","12755.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.935","0.131","-115.500","12712.2","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.820","0.134","-95.700","12658.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.660","0.137","-105.300","12615.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.523","0.141","-97.500","12560.0","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.391","0.144","-110.100","12510.2","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.191","0.147","-81.300","12454.5","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.159","0.150","-109.200","12392.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.932","0.153","-95.700","12336.9","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.875","0.157","-89.700","12265.3","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.723","0.160","-106.200","12203.9","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.594","0.163","-88.800","12132.4","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.494","0.166","-94.200","12060.2","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.371","0.170","-97.500","11994.2","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.288","0.173","-95.700","11915.2","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.157","0.176","-96.000","11848.3","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.075","0.180","-93.000","11773.6","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.964","0.183","-89.400","11698.9","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.890","0.186","-105.000","11633.1","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.770","0.189","-87.300","11556.2","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.704","0.193","-95.700","11491.3","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.586","0.196","-99.900","11424.6","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.500","0.199","-78.300","11355.4","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.435","0.202","-110.100","11298.7","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.292","0.205","-74.100","11232.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.268","0.208","-96.300","11171.0","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.142","0.212","-95.400","11114.7","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.057","0.215","-69.900","11046.5","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.021","0.219","-97.200","10987.7","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.920","0.223","-100.800","10923.8","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.855","0.227","-83.400","10853.0","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.833","0.231","-117.000","10791.0","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.742","0.235","-105.300","10719.4","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.712","0.240","-94.500","10645.6","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.728","0.244","-134.400","10579.4","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.620","0.249","-102.600","10502.5","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.662","0.254","-115.500","10427.7","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.639","0.258","-147.300","10359.3","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.564","0.263","-111.300","10281.2","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.632","0.268","-130.500","10207.1","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.600","0.273","-156.600","10138.5","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.537","0.278","-112.200","10060.3","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.623","0.283","-138.900","9987.4","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.589","0.288","-170.100","9918.9","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.507","0.294","-106.200","9840.5","8.000","9.000","6.496","4.393","0.156"
