"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.682","0.000","-297.300","14000.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.028","0.000","-307.200","13993.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.450","0.010","-261.300","14001.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.880","0.018","-299.100","13993.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.304","0.023","-292.800","14001.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.669","0.028","-291.300","13994.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.112","0.033","-294.300","14000.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.352","0.037","-226.800","13996.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.531","0.041","-126.600","14001.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.849","0.045","-128.400","13998.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.120","0.048","-223.800","13999.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.125","0.052","-142.800","13999.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.391","0.055","-153.000","13996.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.520","0.058","-171.000","14001.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.593","0.061","-152.400","13996.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.666","0.064","-150.000","13995.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.735","0.067","-148.800","13953.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.749","0.070","-148.500","13906.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.723","0.073","-129.900","13841.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.720","0.077","-160.500","13785.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.590","0.081","-113.100","13715.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.606","0.085","-146.400","13652.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.491","0.089","-153.900","13581.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.505","0.093","-194.700","13508.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.317","0.096","-145.800","13433.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.297","0.100","-144.300","13349.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.171","0.103","-153.300","13273.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.051","0.106","-135.300","13188.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.927","0.110","-146.400","13119.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.752","0.113","-123.000","13041.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.649","0.116","-127.500","12977.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.469","0.119","-113.700","12911.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.397","0.122","-132.600","12852.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.141","0.126","-102.000","12803.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.111","0.129","-113.100","12748.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.909","0.132","-120.300","12706.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.769","0.135","-95.700","12653.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.647","0.139","-113.100","12608.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.471","0.142","-94.500","12558.1","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.391","0.145","-114.300","12503.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.176","0.148","-85.200","12454.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.162","0.152","-117.000","12391.1","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.939","0.155","-95.400","12336.6","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.865","0.159","-91.200","12270.3","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.745","0.162","-113.100","12203.3","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.584","0.165","-89.700","12139.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.525","0.169","-107.400","12062.9","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.365","0.172","-87.600","11998.2","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.323","0.175","-105.000","11921.9","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.157","0.179","-99.000","11849.4","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.071","0.182","-90.600","11780.5","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.985","0.185","-104.700","11701.4","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.872","0.189","-91.800","11635.4","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.794","0.192","-99.000","11561.0","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.683","0.195","-96.300","11489.2","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.600","0.199","-93.900","11426.6","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.506","0.202","-95.700","11354.4","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.429","0.205","-94.200","11294.0","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.332","0.208","-86.700","11232.3","7.000","8.000","8.540","5.012","0.116"
