"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.503","0.000","-265.500","13992.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.019","0.000","-279.000","13999.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.391","0.010","-299.400","13995.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.806","0.018","-292.200","13999.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.215","0.023","-275.700","13996.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.614","0.028","-314.400","13996.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.002","0.032","-270.000","13998.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.221","0.037","-257.700","13994.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.363","0.041","-102.000","14000.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.816","0.044","-140.100","13996.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.888","0.048","-207.900","14003.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.015","0.051","-158.700","13995.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.196","0.055","-136.500","14003.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.385","0.058","-156.300","13994.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.420","0.061","-171.600","14002.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.521","0.064","-126.300","13987.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.592","0.066","-153.300","13959.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.630","0.069","-127.200","13901.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.629","0.073","-164.400","13843.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.546","0.077","-117.600","13781.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.595","0.081","-138.000","13714.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.489","0.085","-127.200","13650.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.523","0.089","-172.500","13576.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.416","0.092","-171.900","13511.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.383","0.096","-158.400","13428.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.265","0.099","-144.900","13355.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.237","0.102","-135.300","13269.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.081","0.106","-151.800","13194.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.981","0.109","-119.400","13116.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.852","0.112","-145.800","13043.9","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.695","0.115","-102.000","12978.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.639","0.118","-130.800","12911.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.383","0.121","-114.600","12860.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.350","0.124","-101.700","12801.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.144","0.126","-115.200","12757.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.069","0.129","-97.800","12706.1","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.867","0.132","-118.500","12657.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.752","0.135","-73.200","12612.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.666","0.138","-120.000","12556.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.428","0.141","-88.200","12511.6","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.411","0.144","-87.600","12451.7","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.182","0.147","-108.900","12397.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.132","0.150","-77.400","12337.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.961","0.153","-107.400","12270.3","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.858","0.156","-70.800","12210.3","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.767","0.159","-106.200","12135.4","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.575","0.162","-85.200","12070.2","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.565","0.165","-77.400","11998.1","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.386","0.168","-103.500","11923.0","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.322","0.171","-72.300","11856.6","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.218","0.174","-97.200","11777.4","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.109","0.177","-78.900","11709.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.049","0.180","-84.300","11636.5","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.919","0.183","-90.600","11561.8","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.858","0.185","-70.200","11497.8","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.777","0.188","-90.600","11424.9","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.668","0.191","-86.400","11360.8","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.604","0.193","-67.200","11299.6","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.522","0.196","-89.700","11231.6","7.000","8.000","8.540","5.012","0.116"
