"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","9.000","6.592","0.000","-306.300","13996.5","1.000","1.000","8.500","5.000","0.000"
"1","1","9.000","7.012","0.000","-262.200","13993.4","1.000","1.000","8.808","5.231","0.002"
"2","1","9.000","7.543","0.010","-268.800","13999.0","1.000","1.000","9.115","5.462","0.004"
"3","1","9.000","7.982","0.018","-321.600","13994.8","1.000","1.000","9.423","5.692","0.006"
"4","1","9.000","8.281","0.023","-295.500","14001.6","1.000","1.000","9.731","5.923","0.008"
"5","1","9.000","8.664","0.028","-305.100","13993.5","2.000","1.000","10.038","6.154","0.010"
"6","1","9.000","9.005","0.032","-288.900","14001.4","2.000","1.000","10.346","6.385","0.012"
"7","1","9.000","9.268","0.036","-222.300","13993.8","2.000","2.000","10.500","6.500","0.014"
"8","1","9.000","9.464","0.040","-129.900","14001.7","3.000","2.000","10.656","6.500","0.016"
"9","1","9.000","9.728","0.043","-139.500","13995.1","3.000","2.000","10.811","6.500","0.018"
"10","1","9.000","9.948","0.047","-197.400","14002.0","3.000","2.000","10.967","6.500","0.020"
"11","1","9.000","9.969","0.050","-154.500","13997.0","4.000","2.000","11.122","6.500","0.022"
"12","1","9.000","10.138","0.053","-157.200","14001.0","4.000","3.000","11.200","6.500","0.024"
"13","1","9.000","10.246","0.056","-144.300","13999.0","4.000","3.000","11.325","6.500","0.026"
"14","1","9.000","10.335","0.058","-157.500","14000.0","4.000","3.000","11.450","6.500","0.028"
"15","2","8.950","10.380","0.061","-121.800","13992.5","6.000","6.000","12.000","6.500","0.030"
"16","2","8.900","10.462","0.064","-148.800","13954.6","6.000","6.000","12.063","6.500","0.032"
"17","2","8.850","10.466","0.066","-100.200","13905.5","6.000","6.000","12.125","6.500","0.034"
"18","2","8.800","10.537","0.069","-144.600","13839.8","6.000","6.000","12.188","6.500","0.036"
"19","2","8.750","10.503","0.073","-102.300","13783.5","6.000","6.000","12.250","6.500","0.038"
"20","2","8.700","10.516","0.076","-117.000","13711.2","6.000","6.000","12.313","6.500","0.040"
"21","2","8.650","10.505","0.080","-111.600","13650.5","6.000","6.000","12.375","6.500","0.042"
"22","2","8.600","10.512","0.083","-140.700","13574.2","6.000","6.000","12.438","6.500","0.044"
"23","2","8.550","10.495","0.086","-163.500","13505.4","6.000","7.000","12.500","6.500","0.046"
"24","2","8.500","10.413","0.089","-116.700","13423.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.450","10.418","0.092","-146.100","13343.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.400","10.303","0.095","-111.300","13264.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.350","10.244","0.098","-143.100","13183.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.300","10.084","0.100","-99.300","13115.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.250","10.035","0.103","-139.800","13039.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.200","9.838","0.106","-95.700","12981.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.150","9.783","0.108","-111.300","12917.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.100","9.607","0.111","-120.600","12866.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.050","9.439","0.114","-72.300","12814.2","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.387","0.117","-121.800","12762.7","7.000","7.000","11.278","6.011","0.068"
"35","2","7.950","9.166","0.119","-81.300","12720.3","7.000","7.000","11.167","5.967","0.070"
"36","2","7.900","9.086","0.122","-120.000","12665.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.850","8.863","0.125","-73.800","12623.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.800","8.839","0.129","-107.400","12567.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.750","8.608","0.132","-102.000","12517.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.700","8.540","0.135","-66.900","12462.5","7.000","7.000","10.611","5.744","0.080"
"41","2","7.650","8.461","0.138","-128.100","12400.1","7.000","7.000","10.500","5.700","0.082"
"42","2","7.600","8.265","0.142","-67.200","12344.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.550","8.270","0.145","-120.600","12273.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.500","8.044","0.149","-89.700","12211.6","7.000","7.000","10.167","5.567","0.088"
"45","2","7.450","8.052","0.153","-96.900","12141.5","7.000","7.000","10.056","5.522","0.090"
"46","2","7.400","7.883","0.157","-117.600","12068.4","7.000","7.000","9.944","5.478","0.092"
"47","2","7.350","7.818","0.160","-81.900","12003.0","7.000","7.000","9.833","5.433","0.094"
"48","2","7.300","7.768","0.164","-129.000","11924.5","7.000","7.000","9.722","5.389","0.096"
"49","2","7.250","7.616","0.168","-87.000","11857.4","7.000","7.000","9.611","5.344","0.098"
"50","2","7.200","7.637","0.172","-115.200","11783.3","7.000","8.000","9.500","5.300","0.100"
"51","2","7.150","7.478","0.176","-113.700","11708.2","7.000","8.000","9.380","5.264","0.102"
"52","2","7.100","7.486","0.180","-94.200","11642.2","7.000","8.000","9.260","5.228","0.104"
"53","2","7.000","7.398","0.184","-133.800","11565.8","7.000","8.000","9.140","5.192","0.106"
"54","2","7.000","7.292","0.188","-93.600","11500.0","7.000","8.000","9.020","5.156","0.108"
