"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","11.000","6.508","0.000","-260.100","13993.8","1.000","1.000","8.500","5.000","0.000"
"1","1","11.000","7.034","0.000","-271.200","13996.3","1.000","1.000","8.808","5.231","0.002"
"2","1","11.000","7.346","0.010","-312.300","13996.7","1.000","1.000","9.115","5.462","0.004"
"3","1","11.000","7.723","0.018","-313.500","13994.8","1.000","1.000","9.423","5.692","0.006"
"4","1","11.000","8.251","0.023","-236.100","13998.4","1.000","1.000","9.731","5.923","0.008"
"5","1","11.000","8.607","0.028","-337.200","13993.4","2.000","1.000","10.038","6.154","0.010"
"6","1","11.000","8.940","0.033","-274.500","14000.5","2.000","1.000","10.346","6.385","0.012"
"7","1","11.000","9.178","0.037","-227.400","13994.8","2.000","2.000","10.500","6.500","0.014"
"8","1","11.000","9.402","0.041","-113.100","14002.9","3.000","2.000","10.656","6.500","0.016"
"9","1","11.000","9.824","0.045","-138.000","13994.2","3.000","2.000","10.811","6.500","0.018"
"10","1","11.000","9.876","0.049","-208.200","14002.3","3.000","2.000","10.967","6.500","0.020"
"11","1","11.000","10.054","0.052","-165.600","13994.4","4.000","2.000","11.122","6.500","0.022"
"12","1","11.000","10.281","0.056","-135.600","14001.6","4.000","3.000","11.200","6.500","0.024"
"13","1","11.000","10.409","0.059","-180.300","13996.7","4.000","3.000","11.325","6.500","0.026"
"14","1","11.000","10.489","0.063","-161.100","14001.4","4.000","3.000","11.450","6.500","0.028"
"15","2","10.850","10.627","0.066","-136.500","13990.0","6.000","6.000","12.000","6.500","0.030"
"16","2","10.700","10.690","0.069","-162.900","13956.7","6.000","6.000","12.063","6.500","0.032"
"17","2","10.550","10.792","0.072","-120.900","13903.5","6.000","6.000","12.125","6.500","0.034"
"18","2","10.400","10.792","0.076","-174.300","13841.6","6.000","6.000","12.188","6.500","0.036"
"19","2","10.250","10.798","0.081","-113.700","13783.1","6.000","6.000","12.250","6.500","0.038"
"20","2","10.100","10.827","0.086","-158.100","13712.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.950","10.809","0.090","-121.200","13651.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.800","10.866","0.094","-194.700","13575.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.650","10.792","0.098","-180.300","13509.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.500","10.775","0.102","-177.300","13426.4","6.000","7.000","12.389","6.456","0.048"
"25","2","9.350","10.699","0.105","-147.600","13350.4","6.000","7.000","12.278","6.411","0.050"
"26","2","9.200","10.681","0.109","-150.600","13267.1","6.000","7.000","12.167","6.367","0.052"
"27","2","9.050","10.505","0.112","-167.400","13188.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.900","10.460","0.115","-116.100","13115.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.750","10.298","0.117","-161.400","13039.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.600","10.182","0.120","-98.100","12978.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.450","10.079","0.123","-143.400","12908.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.300","9.837","0.125","-110.700","12859.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.150","9.797","0.127","-97.200","12803.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.544","0.130","-120.900","12755.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.850","9.473","0.132","-78.000","12708.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.700","9.223","0.134","-120.000","12656.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.550","9.120","0.136","-55.800","12614.6","7.000","7.000","10.944","5.878","0.074"
"38","2","7.400","8.961","0.138","-107.700","12557.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.250","8.728","0.140","-69.600","12511.2","7.000","7.000","10.722","5.789","0.078"
"40","2","7.100","8.692","0.142","-61.500","12453.6","7.000","7.000","10.611","5.744","0.080"
"41","2","6.950","8.422","0.144","-91.200","12394.5","7.000","7.000","10.500","5.700","0.082"
"42","2","6.800","8.381","0.145","-38.100","12338.0","7.000","7.000","10.389","5.656","0.084"
"43","2","6.650","8.143","0.147","-92.100","12267.7","7.000","7.000","10.278","5.611","0.086"
"44","2","6.500","8.036","0.149","-33.900","12207.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.350","7.897","0.150","-71.700","12134.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.200","7.672","0.151","-57.300","12064.8","7.000","7.000","9.944","5.478","0.092"
"47","2","6.050","7.635","0.153","-28.500","11996.5","7.000","7.000","9.833","5.433","0.094"
"48","2","5.900","7.385","0.154","-79.800","11918.6","7.000","7.000","9.722","5.389","0.096"
"49","2","5.750","7.298","0.155","-17.100","11852.4","7.000","7.000","9.611","5.344","0.098"
"50","2","5.600","7.136","0.156","-54.000","11775.2","7.000","8.000","9.500","5.300","0.100"
"51","2","5.450","6.966","0.157","-39.300","11702.7","7.000","8.000","9.380","5.264","0.102"
"52","2","5.300","6.871","0.158","-19.500","11634.9","7.000","8.000","9.260","5.228","0.104"
"53","2","5.150","6.664","0.158","-55.200","11557.4","7.000","8.000","9.140","5.192","0.106"
"54","2","5.000","6.553","0.159","-6.300","11493.5","7.000","8.000","9.020","5.156","0.108"
"55","2","5.000","6.421","0.159","-32.100","11424.0","7.000","8.000","8.900","5.120","0.110"
"56","2","5.000","6.232","0.159","-33.600","11355.9","7.000","8.000","8.780","5.084","0.112"
"57","2","5.000","6.140","0.159","3.000","11298.5","7.000","8.000","8.660","5.048","0.114"
"58","2","5.000","5.985","0.160","-34.200","11230.6","7.000","8.000","8.540","5.012","0.116"
"59","2","5.000","5.818","0.160","-6.300","11171.8","7.000","8.000","8.420","4.976","0.118"
"60","2","5.000","5.730","0.161","4.800","11112.8","7.000","8.000","8.300","4.940","0.120"
"61","2","5.000","5.531","0.162","-32.400","11045.9","7.000","8.000","8.180","4.904","0.122"
"62","2","5.000","5.444","0.163","18.300","10989.6","7.000","8.000","8.060","4.868","0.124"
"63","2","5.000","5.334","0.164","-21.900","10923.8","7.000","8.000","7.940","4.832","0.126"
"64","2","5.000","5.155","0.166","-33.600","10855.2","7.000","8.000","7.820","4.796","0.128"
"65","2","5.000","5.148","0.168","9.900","10794.0","8.000","8.000","7.700","4.760","0.130"
"66","2","5.000","5.005","0.170","-55.200","10721.5","8.000","8.000","7.580","4.724","0.132"
"67","2","5.000","4.913","0.173","-28.800","10650.6","8.000","8.000","7.460","4.688","0.134"
"68","2","5.000","4.923","0.176","-14.700","10584.4","8.000","8.000","7.340","4.652","0.136"
"69","2","5.000","4.814","0.179","-78.900","10507.1","8.000","8.000","7.220","4.616","0.138"
"70","2","5.000","4.791","0.182","-36.600","10435.5","8.000","8.000","7.100","4.580","0.140"
"71","2","5.000","4.828","0.186","-49.800","10366.0","8.000","8.000","6.980","4.544","0.142"
"72","2","5.000","4.711","0.189","-109.800","10287.3","8.000","8.000","6.860","4.508","0.144"
"73","2","5.000","4.755","0.193","-39.000","10216.6","8.000","8.000","6.740","4.472","0.146"
"74","2","5.000","4.807","0.196","-86.400","10146.1","8.000","8.000","6.620","4.436","0.148"
"75","2","5.000","4.704","0.200","-117.000","10067.6","8.000","9.000","6.500","4.400","0.150"
"76","2","5.000","4.806","0.204","-50.100","9998.2","8.000","9.000","6.499","4.398","0.152"
"77","2","5.000","4.835","0.208","-105.600","9927.8","8.000","9.000","6.498","4.395","0.154"
