"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","11.000","6.883","0.000","-316.800","13999.7","1.000","1.000","8.500","5.000","0.000"
"1","1","11.000","7.188","0.000","-301.200","13994.1","1.000","1.000","8.808","5.231","0.002"
"2","1","11.000","7.604","0.010","-250.800","14001.4","1.000","1.000","9.115","5.462","0.004"
"3","1","11.000","8.115","0.018","-317.100","13993.8","1.000","1.000","9.423","5.692","0.006"
"4","1","11.000","8.395","0.023","-302.700","14001.6","1.000","1.000","9.731","5.923","0.008"
"5","1","11.000","8.867","0.028","-261.600","13993.7","2.000","1.000","10.038","6.154","0.010"
"6","1","11.000","9.261","0.033","-340.500","14001.5","2.000","1.000","10.346","6.385","0.012"
"7","1","11.000","9.421","0.037","-192.300","13995.6","2.000","2.000","10.500","6.500","0.014"
"8","1","11.000","9.685","0.041","-144.300","14001.6","3.000","2.000","10.656","6.500","0.016"
"9","1","11.000","9.951","0.045","-130.200","13997.3","3.000","2.000","10.811","6.500","0.018"
"10","1","11.000","10.191","0.049","-223.800","14000.3","3.000","2.000","10.967","6.500","0.020"
"11","1","11.000","10.182","0.053","-152.700","13999.4","4.000","2.000","11.122","6.500","0.022"
"12","1","11.000","10.452","0.056","-162.600","13998.4","4.000","3.000","11.200","6.500","0.024"
"13","1","11.000","10.502","0.060","-174.600","14000.9","4.000","3.000","11.325","6.500","0.026"
"14","1","11.000","10.650","0.063","-153.000","13997.1","4.000","3.000","11.450","6.500","0.028"
"15","2","10.850","10.690","0.067","-167.700","13994.7","6.000","6.000","12.000","6.500","0.030"
"16","2","10.700","10.746","0.070","-146.700","13953.8","6.000","6.000","12.063","6.500","0.032"
"17","2","10.550","10.765","0.073","-146.700","13906.7","6.000","6.000","12.125","6.500","0.034"
"18","2","10.400","10.817","0.077","-143.400","13841.2","6.000","6.000","12.188","6.500","0.036"
"19","2","10.250","10.777","0.082","-167.700","13786.7","6.000","6.000","12.250","6.500","0.038"
"20","2","10.100","10.706","0.087","-112.800","13715.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.950","10.749","0.092","-160.500","13653.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.800","10.690","0.096","-177.000","13580.2","6.000","6.000","12.438","6.500","0.044"
