"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","9.000","6.517","0.000","-266.700","14000.1","1.000","1.000","8.500","5.000","0.000"
"1","1","9.000","6.848","0.000","-314.700","13992.3","1.000","1.000","8.808","5.231","0.002"
"2","1","9.000","7.198","0.010","-293.400","13999.5","1.000","1.000","9.115","5.462","0.004"
"3","1","9.000","7.805","0.018","-245.100","13993.2","1.000","1.000","9.423","5.692","0.006"
"4","1","9.000","8.045","0.023","-347.400","13999.7","1.000","1.000","9.731","5.923","0.008"
"5","1","9.000","8.391","0.028","-301.800","13995.1","2.000","1.000","10.038","6.154","0.010"
"6","1","9.000","8.812","0.032","-260.100","13999.3","2.000","1.000","10.346","6.385","0.012"
"7","1","9.000","8.829","0.037","-274.500","13998.5","2.000","2.000","10.500","6.500","0.014"
"8","1","9.000","9.150","0.041","-109.800","13998.2","3.000","2.000","10.656","6.500","0.016"
"9","1","9.000","9.484","0.044","-109.200","14000.3","3.000","2.000","10.811","6.500","0.018"
"10","1","9.000","9.542","0.048","-233.100","13995.9","3.000","2.000","10.967","6.500","0.020"
"11","1","9.000","9.695","0.051","-117.900","14001.6","4.000","2.000","11.122","6.500","0.022"
"12","1","9.000","9.949","0.054","-164.400","13995.6","4.000","3.000","11.200","6.500","0.024"
"13","1","9.000","9.999","0.057","-133.500","14003.4","4.000","3.000","11.325","6.500","0.026"
"14","1","9.000","10.147","0.060","-165.600","13995.9","4.000","3.000","11.450","6.500","0.028"
"15","2","8.900","10.251","0.063","-107.100","13996.1","6.000","6.000","12.000","6.500","0.030"
"16","2","8.800","10.311","0.066","-170.100","13953.2","6.000","6.000","12.063","6.500","0.032"
"17","2","8.700","10.391","0.068","-84.000","13906.2","6.000","6.000","12.125","6.500","0.034"
"18","2","8.600","10.422","0.071","-167.700","13843.1","6.000","6.000","12.188","6.500","0.036"
"19","2","8.500","10.386","0.075","-108.900","13785.6","6.000","6.000","12.250","6.500","0.038"
"20","2","8.400","10.437","0.079","-119.400","13719.2","6.000","6.000","12.313","6.500","0.040"
"21","2","8.300","10.426","0.082","-120.600","13652.5","6.000","6.000","12.375","6.500","0.042"
"22","2","8.200","10.472","0.085","-136.200","13583.9","6.000","6.000","12.438","6.500","0.044"
"23","2","8.100","10.396","0.088","-179.400","13507.7","6.000","7.000","12.500","6.500","0.046"
"24","2","8.000","10.366","0.090","-95.700","13436.9","6.000","7.000","12.389","6.456","0.048"
"25","2","7.900","10.348","0.093","-150.600","13350.6","6.000","7.000","12.278","6.411","0.050"
"26","2","7.800","10.242","0.095","-97.500","13277.1","6.000","7.000","12.167","6.367","0.052"
"27","2","7.700","10.139","0.097","-144.300","13191.0","6.000","7.000","12.056","6.322","0.054"
"28","2","7.600","10.028","0.099","-74.100","13121.1","6.000","7.000","11.944","6.278","0.056"
"29","2","7.500","9.920","0.100","-127.800","13045.5","6.000","7.000","11.833","6.233","0.058"
"30","2","7.400","9.728","0.102","-90.300","12978.3","7.000","7.000","11.722","6.189","0.060"
"31","2","7.300","9.682","0.103","-68.700","12917.8","7.000","7.000","11.611","6.144","0.062"
"32","2","7.200","9.428","0.105","-117.000","12856.5","7.000","7.000","11.500","6.100","0.064"
"33","2","7.100","9.339","0.106","-33.900","12810.0","7.000","7.000","11.389","6.056","0.066"
"34","2","7.000","9.171","0.107","-105.600","12753.5","7.000","7.000","11.278","6.011","0.068"
"35","2","6.900","8.989","0.109","-38.100","12711.7","7.000","7.000","11.167","5.967","0.070"
"36","2","6.800","8.846","0.110","-84.000","12661.0","7.000","7.000","11.056","5.922","0.072"
"37","2","6.700","8.621","0.111","-53.400","12612.8","7.000","7.000","10.944","5.878","0.074"
"38","2","6.600","8.564","0.113","-37.200","12566.5","7.000","7.000","10.833","5.833","0.076"
"39","2","6.500","8.269","0.114","-90.600","12509.4","7.000","7.000","10.722","5.789","0.078"
"40","2","6.400","8.226","0.115","0.900","12462.1","7.000","7.000","10.611","5.744","0.080"
"41","2","6.300","8.004","0.116","-87.600","12399.3","7.000","7.000","10.500","5.700","0.082"
