"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","9.000","6.670","0.000","-271.800","13997.4","1.000","1.000","8.500","5.000","0.000"
"1","1","9.000","7.096","0.000","-322.500","13992.2","1.000","1.000","8.808","5.231","0.002"
"2","1","9.000","7.418","0.010","-267.000","14000.7","1.000","1.000","9.115","5.462","0.004"
"3","1","9.000","7.901","0.018","-282.600","13993.6","1.000","1.000","9.423","5.692","0.006"
"4","1","9.000","8.240","0.023","-306.600","14001.8","1.000","1.000","9.731","5.923","0.008"
"5","1","9.000","8.668","0.028","-281.400","13993.2","2.000","1.000","10.038","6.154","0.010"
"6","1","9.000","9.025","0.032","-324.900","14000.8","2.000","1.000","10.346","6.385","0.012"
"7","1","9.000","9.227","0.036","-198.300","13994.5","2.000","2.000","10.500","6.500","0.014"
"8","1","9.000","9.471","0.040","-139.800","14000.8","3.000","2.000","10.656","6.500","0.016"
"9","1","9.000","9.763","0.044","-133.500","13997.1","3.000","2.000","10.811","6.500","0.018"
"10","1","9.000","9.915","0.047","-216.900","14000.8","3.000","2.000","10.967","6.500","0.020"
"11","1","9.000","9.951","0.051","-126.900","13999.1","4.000","2.000","11.122","6.500","0.022"
"12","1","9.000","10.243","0.054","-162.600","13998.4","4.000","3.000","11.200","6.500","0.024"
"13","1","9.000","10.243","0.056","-161.700","14000.4","4.000","3.000","11.325","6.500","0.026"
"14","1","9.000","10.371","0.059","-143.100","13996.5","4.000","3.000","11.450","6.500","0.028"
"15","2","8.900","10.420","0.062","-140.400","13994.3","6.000","6.000","12.000","6.500","0.030"
"16","2","8.800","10.472","0.064","-147.600","13953.9","6.000","6.000","12.063","6.500","0.032"
"17","2","8.700","10.423","0.067","-127.500","13907.2","6.000","6.000","12.125","6.500","0.034"
"18","2","8.600","10.483","0.070","-120.300","13842.1","6.000","6.000","12.188","6.500","0.036"
"19","2","8.500","10.402","0.074","-148.200","13787.3","6.000","6.000","12.250","6.500","0.038"
"20","2","8.400","10.346","0.077","-102.900","13716.3","6.000","6.000","12.313","6.500","0.040"
"21","2","8.300","10.308","0.080","-132.600","13654.3","6.000","6.000","12.375","6.500","0.042"
"22","2","8.200","10.271","0.083","-129.600","13581.8","6.000","6.000","12.438","6.500","0.044"
"23","2","8.100","10.222","0.086","-190.800","13512.6","6.000","7.000","12.500","6.500","0.046"
"24","2","8.000","10.047","0.089","-106.200","13436.4","6.000","7.000","12.389","6.456","0.048"
"25","2","7.900","10.080","0.092","-136.200","13354.2","6.000","7.000","12.278","6.411","0.050"
"26","2","7.800","9.855","0.094","-126.300","13278.5","6.000","7.000","12.167","6.367","0.052"
"27","2","7.700","9.795","0.097","-113.400","13193.2","6.000","7.000","12.056","6.322","0.054"
"28","2","7.600","9.612","0.099","-114.000","13124.6","6.000","7.000","11.944","6.278","0.056"
"29","2","7.500","9.547","0.101","-96.900","13045.2","6.000","7.000","11.833","6.233","0.058"
"30","2","7.400","9.340","0.104","-117.300","12982.6","7.000","7.000","11.722","6.189","0.060"
"31","2","7.300","9.230","0.106","-66.300","12916.2","7.000","7.000","11.611","6.144","0.062"
"32","2","7.200","9.117","0.108","-123.300","12859.4","7.000","7.000","11.500","6.100","0.064"
"33","2","7.100","8.873","0.110","-62.400","12809.7","7.000","7.000","11.389","6.056","0.066"
"34","2","7.000","8.874","0.112","-85.500","12755.2","7.000","7.000","11.278","6.011","0.068"
"35","2","6.900","8.599","0.114","-88.500","12713.7","7.000","7.000","11.167","5.967","0.070"
"36","2","6.800","8.548","0.116","-60.900","12659.9","7.000","7.000","11.056","5.922","0.072"
"37","2","6.700","8.340","0.118","-86.100","12616.9","7.000","7.000","10.944","5.878","0.074"
"38","2","6.600","8.240","0.120","-56.400","12564.9","7.000","7.000","10.833","5.833","0.076"
"39","2","6.500","8.082","0.122","-87.600","12512.2","7.000","7.000","10.722","5.789","0.078"
"40","2","6.400","7.911","0.124","-47.400","12462.3","7.000","7.000","10.611","5.744","0.080"
"41","2","6.300","7.866","0.126","-76.800","12399.0","7.000","7.000","10.500","5.700","0.082"
"42","2","6.200","7.612","0.128","-63.000","12345.4","7.000","7.000","10.389","5.656","0.084"
"43","2","6.100","7.599","0.130","-50.700","12277.3","7.000","7.000","10.278","5.611","0.086"
"44","2","6.000","7.390","0.132","-77.400","12212.9","7.000","7.000","10.167","5.567","0.088"
"45","2","5.900","7.281","0.134","-44.100","12146.2","7.000","7.000","10.056","5.522","0.090"
"46","2","5.800","7.176","0.136","-64.500","12071.6","7.000","7.000","9.944","5.478","0.092"
"47","2","5.700","7.015","0.138","-59.700","12007.0","7.000","7.000","9.833","5.433","0.094"
"48","2","5.600","6.933","0.140","-57.000","11930.4","7.000","7.000","9.722","5.389","0.096"
"49","2","5.500","6.766","0.141","-55.500","11860.0","7.000","7.000","9.611","5.344","0.098"
"50","2","5.400","6.693","0.143","-50.400","11789.1","7.000","8.000","9.500","5.300","0.100"
"51","2","5.300","6.559","0.145","-53.400","11711.5","7.000","8.000","9.380","5.264","0.102"
"52","2","5.200","6.439","0.146","-55.500","11646.0","7.000","8.000","9.260","5.228","0.104"
"53","2","5.100","6.339","0.148","-45.600","11570.8","7.000","8.000","9.140","5.192","0.106"
"54","2","5.000","6.220","0.150","-54.600","11501.4","7.000","8.000","9.020","5.156","0.108"
"55","2","5.000","6.094","0.151","-48.900","11437.6","7.000","8.000","8.900","5.120","0.110"
"56","2","5.000","6.013","0.153","-36.300","11365.9","7.000","8.000","8.780","5.084","0.112"
"57","2","5.000","5.882","0.154","-63.000","11307.6","7.000","8.000","8.660","5.048","0.114"
"58","2","5.000","5.778","0.156","-24.300","11243.6","7.000","8.000","8.540","5.012","0.116"
"59","2","5.000","5.720","0.157","-51.300","11178.9","7.000","8.000","8.420","4.976","0.118"
"60","2","5.000","5.556","0.159","-41.700","11123.4","7.000","8.000","8.300","4.940","0.120"
"61","2","5.000","5.508","0.161","-25.800","11057.2","7.000","8.000","8.180","4.904","0.122"
"62","2","5.000","5.394","0.164","-53.400","10995.2","7.000","8.000","8.060","4.868","0.124"
"63","2","5.000","5.310","0.166","-43.200","10935.5","7.000","8.000","7.940","4.832","0.126"
"64","2","5.000","5.256","0.169","-51.000","10864.8","7.000","8.000","7.820","4.796","0.128"
"65","2","5.000","5.160","0.172","-71.700","10801.9","8.000","8.000","7.700","4.760","0.130"
"66","2","5.000","5.100","0.175","-55.200","10734.2","8.000","8.000","7.580","4.724","0.132"
"67","2","5.000","5.070","0.178","-69.900","10659.3","8.000","8.000","7.460","4.688","0.134"
