"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","11.000","6.664","0.000","-280.500","13992.8","1.000","1.000","8.500","5.000","0.000"
"1","1","11.000","7.020","0.000","-294.900","14000.1","1.000","1.000","8.808","5.231","0.002"
"2","1","11.000","7.349","0.010","-298.500","13993.5","1.000","1.000","9.115","5.462","0.004"
"3","1","11.000","7.768","0.018","-270.000","14001.9","1.000","1.000","9.423","5.692","0.006"
"4","1","11.000","8.173","0.023","-305.100","13993.2","1.000","1.000","9.731","5.923","0.008"
"5","1","11.000","8.545","0.028","-306.900","14001.6","2.000","1.000","10.038","6.154","0.010"
"6","1","11.000","8.887","0.033","-291.300","13994.1","2.000","1.000","10.346","6.385","0.012"
"7","1","11.000","9.106","0.037","-246.600","14000.8","2.000","2.000","10.500","6.500","0.014"
"8","1","11.000","9.233","0.041","-96.000","13995.1","3.000","2.000","10.656","6.500","0.016"
"9","1","11.000","9.616","0.046","-160.800","14000.5","3.000","2.000","10.811","6.500","0.018"
"10","1","11.000","9.752","0.049","-188.400","13997.6","3.000","2.000","10.967","6.500","0.020"
"11","1","11.000","9.855","0.053","-173.700","13999.5","4.000","2.000","11.122","6.500","0.022"
"12","1","11.000","9.997","0.057","-148.800","13999.8","4.000","3.000","11.200","6.500","0.024"
"13","1","11.000","10.183","0.061","-178.500","13997.3","4.000","3.000","11.325","6.500","0.026"
"14","1","11.000","10.221","0.064","-153.000","14001.2","4.000","3.000","11.450","6.500","0.028"
"15","2","10.900","10.325","0.068","-172.800","13988.5","6.000","6.000","12.000","6.500","0.030"
"16","2","10.800","10.343","0.071","-135.900","13961.0","6.000","6.000","12.063","6.500","0.032"
"17","2","10.700","10.440","0.075","-144.000","13900.7","6.000","6.000","12.125","6.500","0.034"
"18","2","10.600","10.468","0.079","-153.000","13851.1","6.000","6.000","12.188","6.500","0.036"
"19","2","10.500","10.504","0.084","-136.800","13783.9","6.000","6.000","12.250","6.500","0.038"
"20","2","10.400","10.498","0.089","-135.600","13726.6","6.000","6.000","12.313","6.500","0.040"
"21","2","10.300","10.524","0.095","-131.700","13655.1","6.000","6.000","12.375","6.500","0.042"
"22","2","10.200","10.611","0.099","-191.700","13591.2","6.000","6.000","12.438","6.500","0.044"
"23","2","10.100","10.613","0.104","-195.300","13519.6","6.000","7.000","12.500","6.500","0.046"
"24","2","10.000","10.626","0.109","-190.200","13446.5","6.000","7.000","12.389","6.456","0.048"
"25","2","9.900","10.595","0.113","-150.000","13370.1","6.000","7.000","12.278","6.411","0.050"
"26","2","9.800","10.655","0.118","-192.000","13285.6","6.000","7.000","12.167","6.367","0.052"
"27","2","9.700","10.506","0.122","-157.200","13211.5","6.000","7.000","12.056","6.322","0.054"
"28","2","9.600","10.522","0.126","-164.100","13126.6","6.000","7.000","11.944","6.278","0.056"
"29","2","9.500","10.378","0.130","-170.400","13059.3","6.000","7.000","11.833","6.233","0.058"
"30","2","9.400","10.289","0.134","-141.600","12982.7","7.000","7.000","11.722","6.189","0.060"
"31","2","9.300","10.215","0.137","-161.700","12920.6","7.000","7.000","11.611","6.144","0.062"
"32","2","9.200","10.052","0.141","-142.500","12859.7","7.000","7.000","11.500","6.100","0.064"
"33","2","9.100","9.969","0.145","-150.300","12802.9","7.000","7.000","11.389","6.056","0.066"
"34","2","9.000","9.779","0.148","-119.100","12756.9","7.000","7.000","11.278","6.011","0.068"
"35","2","8.900","9.746","0.152","-153.600","12700.9","7.000","7.000","11.167","5.967","0.070"
"36","2","8.800","9.479","0.156","-123.600","12659.8","7.000","7.000","11.056","5.922","0.072"
"37","2","8.700","9.443","0.159","-116.400","12606.6","7.000","7.000","10.944","5.878","0.074"
"38","2","8.600","9.270","0.163","-143.100","12560.2","7.000","7.000","10.833","5.833","0.076"
"39","2","8.500","9.106","0.166","-106.800","12510.3","7.000","7.000","10.722","5.789","0.078"
"40","2","8.400","9.037","0.170","-130.800","12453.4","7.000","7.000","10.611","5.744","0.080"
"41","2","8.300","8.836","0.174","-105.000","12404.0","7.000","7.000","10.500","5.700","0.082"
"42","2","8.200","8.802","0.178","-129.000","12338.7","7.000","7.000","10.389","5.656","0.084"
"43","2","8.100","8.575","0.181","-104.700","12282.0","7.000","7.000","10.278","5.611","0.086"
"44","2","8.000","8.555","0.185","-115.500","12215.1","7.000","7.000","10.167","5.567","0.088"
"45","2","7.900","8.377","0.189","-121.500","12145.5","7.000","7.000","10.056","5.522","0.090"
"46","2","7.800","8.276","0.193","-91.800","12081.7","7.000","7.000","9.944","5.478","0.092"
"47","2","7.700","8.219","0.197","-134.400","12004.0","7.000","7.000","9.833","5.433","0.094"
"48","2","7.600","8.036","0.200","-96.000","11938.3","7.000","7.000","9.722","5.389","0.096"
"49","2","7.500","8.024","0.204","-121.500","11863.4","7.000","7.000","9.611","5.344","0.098"
"50","2","7.400","7.847","0.208","-111.600","11788.6","7.000","8.000","9.500","5.300","0.100"
"51","2","7.300","7.810","0.212","-95.100","11721.2","7.000","8.000","9.380","5.264","0.102"
"52","2","7.200","7.714","0.215","-132.900","11642.1","7.000","8.000","9.260","5.228","0.104"
"53","2","7.100","7.587","0.219","-93.000","11575.4","7.000","8.000","9.140","5.192","0.106"
"54","2","7.000","7.559","0.223","-117.600","11503.5","7.000","8.000","9.020","5.156","0.108"
"55","2","7.000","7.423","0.227","-116.400","11430.9","7.000","8.000","8.900","5.120","0.110"
"56","2","7.000","7.360","0.230","-89.400","11370.0","7.000","8.000","8.780","5.084","0.112"
"57","2","7.000","7.291","0.234","-126.900","11299.9","7.000","8.000","8.660","5.048","0.114"
"58","2","7.000","7.168","0.237","-97.800","11237.6","7.000","8.000","8.540","5.012","0.116"
"59","2","7.000","7.132","0.241","-96.000","11178.8","7.000","8.000","8.420","4.976","0.118"
"60","2","7.000","7.057","0.245","-124.800","11110.5","7.000","8.000","8.300","4.940","0.120"
"61","2","7.000","6.930","0.249","-88.200","11054.3","7.000","8.000","8.180","4.904","0.122"
"62","2","7.000","6.941","0.253","-106.200","10990.6","7.000","8.000","8.060","4.868","0.124"
"63","2","7.000","6.818","0.257","-128.100","10923.0","7.000","8.000","7.940","4.832","0.126"
"64","2","7.000","6.766","0.262","-84.900","10864.2","7.000","8.000","7.820","4.796","0.128"
"65","2","7.000","6.763","0.266","-142.200","10793.4","8.000","8.000","7.700","4.760","0.130"
"66","2","7.000","6.625","0.271","-116.100","10723.9","8.000","8.000","7.580","4.724","0.132"
"67","2","7.000","6.649","0.276","-102.300","10659.3","8.000","8.000","7.460","4.688","0.134"
"68","2","7.000","6.606","0.280","-156.900","10582.6","8.000","8.000","7.340","4.652","0.136"
"69","2","7.000","6.521","0.285","-112.200","10511.0","8.000","8.000","7.220","4.616","0.138"
"70","2","7.000","6.565","0.290","-119.700","10441.8","8.000","8.000","7.100","4.580","0.140"
"71","2","7.000","6.506","0.295","-164.100","10362.2","8.000","8.000","6.980","4.544","0.142"
"72","2","7.000","6.441","0.301","-113.400","10290.9","8.000","8.000","6.860","4.508","0.144"
"73","2","7.000","6.514","0.306","-141.000","10219.3","8.000","8.000","6.740","4.472","0.146"
"74","2","7.000","6.429","0.311","-170.700","10139.6","8.000","8.000","6.620","4.436","0.148"
"75","2","7.000","6.404","0.316","-111.300","10069.1","8.000","9.000","6.500","4.400","0.150"
"76","2","7.000","6.477","0.322","-163.500","9997.1","8.000","9.000","6.499","4.398","0.152"
"77","2","7.000","6.369","0.327","-165.600","9918.0","8.000","9.000","6.498","4.395","0.154"
"78","2","7.000","6.386","0.332","-119.100","9847.5","8.000","9.000","6.496","4.393","0.156"
"79","2","7.000","6.433","0.338","-171.300","9776.0","8.000","9.000","6.495","4.391","0.158"
"80","2","7.000","6.350","0.343","-170.700","9696.5","8.000","9.000","6.494","4.388","0.160"
"81","2","7.000","6.344","0.349","-125.100","9624.3","8.000","9.000","6.493","4.386","0.162"
"82","2","7.000","6.414","0.354","-172.500","9552.4","8.000","9.000","6.492","4.384","0.164"
