"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","11.000","6.623","0.000","-317.100","13993.9","1.000","1.000","8.500","5.000","0.000"
"1","1","11.000","7.036","0.000","-279.300","13998.2","1.000","1.000","8.808","5.231","0.002"
"2","1","11.000","7.468","0.010","-288.000","13996.2","1.000","1.000","9.115","5.462","0.004"
"3","1","11.000","7.818","0.018","-331.800","13995.7","1.000","1.000","9.423","5.692","0.006"
"4","1","11.000","8.182","0.023","-251.400","13997.8","1.000","1.000","9.731","5.923","0.008"
"5","1","11.000","8.699","0.028","-316.800","13994.6","2.000","1.000","10.038","6.154","0.010"
"6","1","11.000","8.957","0.033","-300.900","14000.2","2.000","1.000","10.346","6.385","0.012"
"7","1","11.000","9.257","0.037","-201.900","13994.4","2.000","2.000","10.500","6.500","0.014"
"8","1","11.000","9.440","0.041","-135.300","14001.8","3.000","2.000","10.656","6.500","0.016"
"9","1","11.000","9.843","0.045","-130.500","13994.5","3.000","2.000","10.811","6.500","0.018"
"10","1","11.000","9.919","0.049","-220.500","14002.8","3.000","2.000","10.967","6.500","0.020"
"11","1","11.000","10.070","0.053","-146.100","13994.6","4.000","2.000","11.122","6.500","0.022"
"12","1","11.000","10.258","0.056","-175.800","14002.5","4.000","3.000","11.200","6.500","0.024"
"13","1","11.000","10.349","0.060","-155.400","13995.3","4.000","3.000","11.325","6.500","0.026"
"14","1","11.000","10.489","0.063","-170.400","14001.4","4.000","3.000","11.450","6.500","0.028"
"15","2","10.900","10.548","0.067","-147.300","13989.1","6.000","6.000","12.000","6.500","0.030"
"16","2","10.800","10.618","0.070","-165.300","13958.0","6.000","6.000","12.063","6.500","0.032"
"17","2","10.700","10.625","0.073","-127.800","13903.5","6.000","6.000","12.125","6.500","0.034"
"18","2","10.600","10.725","0.077","-160.200","13843.0","6.000","6.000","12.188","6.500","0.036"
"19","2","10.500","10.630","0.082","-148.200","13783.8","6.000","6.000","12.250","6.500","0.038"
"20","2","10.400","10.691","0.087","-132.900","13714.9","6.000","6.000","12.313","6.500","0.040"
"21","2","10.300","10.642","0.092","-138.600","13653.2","6.000","6.000","12.375","6.500","0.042"
"22","2","10.200","10.724","0.096","-182.400","13576.5","6.000","6.000","12.438","6.500","0.044"
"23","2","10.100","10.631","0.101","-217.800","13511.1","6.000","7.000","12.500","6.500","0.046"
"24","2","10.000","10.609","0.105","-154.500","13428.4","6.000","7.000","12.389","6.456","0.048"
"25","2","9.900","10.589","0.110","-174.000","13354.6","6.000","7.000","12.278","6.411","0.050"
"26","2","9.800","10.500","0.114","-167.700","13270.3","6.000","7.000","12.167","6.367","0.052"
"27","2","9.700","10.404","0.118","-172.500","13193.2","6.000","7.000","12.056","6.322","0.054"
"28","2","9.600","10.293","0.122","-145.200","13118.2","6.000","7.000","11.944","6.278","0.056"
"29","2","9.500","10.230","0.126","-178.500","13043.2","6.000","7.000","11.833","6.233","0.058"
"30","2","9.400","10.020","0.130","-135.000","12981.6","7.000","7.000","11.722","6.189","0.060"
"31","2","9.300","10.040","0.133","-144.000","12913.3","7.000","7.000","11.611","6.144","0.062"
"32","2","9.200","9.796","0.137","-162.600","12863.9","7.000","7.000","11.500","6.100","0.064"
"33","2","9.100","9.736","0.141","-114.900","12806.1","7.000","7.000","11.389","6.056","0.066"
"34","2","9.000","9.600","0.145","-148.200","12759.1","7.000","7.000","11.278","6.011","0.068"
"35","2","8.900","9.443","0.149","-128.100","12710.5","7.000","7.000","11.167","5.967","0.070"
"36","2","8.800","9.323","0.153","-140.700","12659.3","7.000","7.000","11.056","5.922","0.072"
"37","2","8.700","9.160","0.156","-116.100","12616.3","7.000","7.000","10.944","5.878","0.074"
"38","2","8.600","9.113","0.160","-133.800","12559.4","7.000","7.000","10.833","5.833","0.076"
"39","2","8.500","8.858","0.164","-129.300","12513.6","7.000","7.000","10.722","5.789","0.078"
"40","2","8.400","8.848","0.168","-106.200","12454.9","7.000","7.000","10.611","5.744","0.080"
"41","2","8.300","8.654","0.172","-140.700","12397.9","7.000","7.000","10.500","5.700","0.082"
"42","2","8.200","8.553","0.176","-104.400","12340.0","7.000","7.000","10.389","5.656","0.084"
"43","2","8.100","8.471","0.180","-132.300","12270.9","7.000","7.000","10.278","5.611","0.086"
"44","2","8.000","8.302","0.184","-115.800","12210.9","7.000","7.000","10.167","5.567","0.088"
"45","2","7.900","8.261","0.188","-117.300","12137.3","7.000","7.000","10.056","5.522","0.090"
"46","2","7.800","8.088","0.192","-123.000","12069.6","7.000","7.000","9.944","5.478","0.092"
