"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","11.000","6.584","0.000","-279.600","13998.9","1.000","1.000","8.500","5.000","0.000"
"1","1","11.000","6.957","0.000","-288.600","13994.9","1.000","1.000","8.808","5.231","0.002"
"2","1","11.000","7.382","0.010","-281.700","13997.9","1.000","1.000","9.115","5.462","0.004"
"3","1","11.000","7.830","0.018","-273.300","13997.3","1.000","1.000","9.423","5.692","0.006"
"4","1","11.000","8.165","0.023","-324.000","13996.6","1.000","1.000","9.731","5.923","0.008"
"5","1","11.000","8.647","0.028","-252.300","13999.2","2.000","1.000","10.038","6.154","0.010"
"6","1","11.000","8.978","0.033","-327.300","13995.1","2.000","1.000","10.346","6.385","0.012"
"7","1","11.000","9.112","0.037","-204.600","14001.2","2.000","2.000","10.500","6.500","0.014"
"8","1","11.000","9.433","0.041","-119.100","13995.1","3.000","2.000","10.656","6.500","0.016"
"9","1","11.000","9.722","0.045","-144.600","14002.5","3.000","2.000","10.811","6.500","0.018"
"10","1","11.000","9.868","0.049","-198.900","13995.0","3.000","2.000","10.967","6.500","0.020"
"11","1","11.000","9.944","0.053","-167.700","14003.6","4.000","2.000","11.122","6.500","0.022"
"12","1","11.000","10.226","0.056","-132.600","13995.0","4.000","3.000","11.200","6.500","0.024"
"13","1","11.000","10.300","0.060","-186.000","14002.7","4.000","3.000","11.325","6.500","0.026"
"14","1","11.000","10.417","0.063","-145.200","13996.4","4.000","3.000","11.450","6.500","0.028"
"15","2","10.900","10.490","0.067","-164.100","13994.3","6.000","6.000","12.000","6.500","0.030"
"16","2","10.800","10.587","0.070","-134.100","13956.2","6.000","6.000","12.063","6.500","0.032"
"17","2","10.700","10.642","0.073","-159.000","13904.8","6.000","6.000","12.125","6.500","0.034"
"18","2","10.600","10.648","0.077","-139.800","13848.6","6.000","6.000","12.188","6.500","0.036"
"19","2","10.500","10.642","0.082","-158.700","13786.3","6.000","6.000","12.250","6.500","0.038"
"20","2","10.400","10.620","0.087","-125.100","13726.3","6.000","6.000","12.313","6.500","0.040"
"21","2","10.300","10.656","0.092","-153.900","13654.7","6.000","6.000","12.375","6.500","0.042"
"22","2","10.200","10.637","0.097","-182.100","13593.2","6.000","6.000","12.438","6.500","0.044"
"23","2","10.100","10.630","0.101","-211.200","13516.0","6.000","7.000","12.500","6.500","0.046"
"24","2","10.000","10.522","0.106","-169.800","13449.1","6.000","7.000","12.389","6.456","0.048"
"25","2","9.900","10.574","0.110","-155.400","13364.2","6.000","7.000","12.278","6.411","0.050"
"26","2","9.800","10.425","0.114","-191.700","13288.7","6.000","7.000","12.167","6.367","0.052"
"27","2","9.700","10.368","0.118","-146.100","13206.2","6.000","7.000","12.056","6.322","0.054"
"28","2","9.600","10.253","0.122","-175.500","13129.0","6.000","7.000","11.944","6.278","0.056"
"29","2","9.500","10.129","0.126","-146.700","13057.6","6.000","7.000","11.833","6.233","0.058"
"30","2","9.400","10.031","0.130","-161.100","12982.1","7.000","7.000","11.722","6.189","0.060"
"31","2","9.300","9.903","0.134","-134.400","12922.3","7.000","7.000","11.611","6.144","0.062"
"32","2","9.200","9.812","0.138","-160.800","12855.1","7.000","7.000","11.500","6.100","0.064"
"33","2","9.100","9.598","0.142","-126.900","12806.6","7.000","7.000","11.389","6.056","0.066"
"34","2","9.000","9.620","0.146","-126.300","12752.0","7.000","7.000","11.278","6.011","0.068"
"35","2","8.900","9.344","0.149","-162.900","12703.7","7.000","7.000","11.167","5.967","0.070"
"36","2","8.800","9.294","0.153","-106.500","12658.2","7.000","7.000","11.056","5.922","0.072"
"37","2","8.700","9.163","0.157","-144.600","12605.4","7.000","7.000","10.944","5.878","0.074"
"38","2","8.600","9.009","0.161","-117.900","12562.8","7.000","7.000","10.833","5.833","0.076"
"39","2","8.500","8.942","0.165","-133.200","12505.6","7.000","7.000","10.722","5.789","0.078"
"40","2","8.400","8.745","0.169","-118.200","12457.6","7.000","7.000","10.611","5.744","0.080"
"41","2","8.300","8.750","0.173","-116.700","12400.3","7.000","7.000","10.500","5.700","0.082"
"42","2","8.200","8.504","0.177","-142.800","12339.3","7.000","7.000","10.389","5.656","0.084"
"43","2","8.100","8.496","0.181","-92.400","12282.7","7.000","7.000","10.278","5.611","0.086"
"44","2","8.000","8.354","0.185","-147.900","12211.2","7.000","7.000","10.167","5.567","0.088"
"45","2","7.900","8.221","0.189","-100.800","12149.8","7.000","7.000","10.056","5.522","0.090"
"46","2","7.800","8.195","0.193","-124.500","12077.2","7.000","7.000","9.944","5.478","0.092"
"47","2","7.700","7.989","0.197","-128.100","12005.8","7.000","7.000","9.833","5.433","0.094"
"48","2","7.600","8.000","0.201","-97.500","11938.7","7.000","7.000","9.722","5.389","0.096"
