"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","8.000","6.522","0.000","-269.100","13994.1","1.000","1.000","8.500","5.000","0.000"
"1","1","8.000","6.990","0.000","-299.100","13998.7","1.000","1.000","8.808","5.231","0.002"
"2","1","8.000","7.354","0.010","-277.200","13995.6","1.000","1.000","9.115","5.462","0.004"
"3","1","8.000","7.816","0.018","-299.100","13996.9","1.000","1.000","9.423","5.692","0.006"
"4","1","8.000","8.229","0.023","-286.500","13997.9","1.000","1.000","9.731","5.923","0.008"
"5","1","8.000","8.670","0.028","-314.700","13995.6","2.000","1.000","10.038","6.154","0.010"
"6","1","8.000","8.994","0.032","-290.700","14000.1","2.000","1.000","10.346","6.385","0.012"
"7","1","8.000","9.318","0.036","-241.800","13995.1","2.000","2.000","10.500","6.500","0.014"
"8","1","8.000","9.451","0.039","-113.700","14001.8","3.000","2.000","10.656","6.500","0.016"
"9","1","8.000","9.760","0.043","-146.700","13995.0","3.000","2.000","10.811","6.500","0.018"
"10","1","8.000","10.018","0.046","-181.800","14002.9","3.000","2.000","10.967","6.500","0.020"
"11","1","8.000","10.048","0.048","-152.100","13994.9","4.000","2.000","11.122","6.500","0.022"
"12","1","8.000","10.229","0.051","-135.000","14003.0","4.000","3.000","11.200","6.500","0.024"
"13","1","8.000","10.344","0.053","-143.100","13995.5","4.000","3.000","11.325","6.500","0.026"
"14","1","8.000","10.443","0.055","-149.400","14002.1","4.000","3.000","11.450","6.500","0.028"
"15","2","8.000","10.444","0.057","-118.200","13988.8","6.000","6.000","12.000","6.500","0.030"
"16","2","8.000","10.516","0.059","-143.700","13958.5","6.000","6.000","12.063","6.500","0.032"
"17","2","8.000","10.461","0.061","-91.500","13903.2","6.000","6.000","12.125","6.500","0.034"
"18","2","8.000","10.510","0.063","-145.800","13844.1","6.000","6.000","12.188","6.500","0.036"
"19","2","8.000","10.370","0.065","-92.100","13783.4","6.000","6.000","12.250","6.500","0.038"
"20","2","8.000","10.328","0.068","-118.800","13714.9","6.000","6.000","12.313","6.500","0.040"
"21","2","8.000","10.223","0.071","-87.000","13653.4","6.000","6.000","12.375","6.500","0.042"
"22","2","8.000","10.180","0.073","-141.000","13578.6","6.000","6.000","12.438","6.500","0.044"
"23","2","8.000","10.037","0.076","-121.800","13513.0","6.000","7.000","12.500","6.500","0.046"
"24","2","8.000","9.919","0.078","-112.500","13429.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.000","9.826","0.081","-118.800","13355.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.000","9.652","0.084","-99.300","13271.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.000","9.567","0.087","-123.600","13195.4","6.000","7.000","12.056","6.322","0.054"
"28","2","8.000","9.360","0.090","-85.200","13120.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.000","9.293","0.093","-138.000","13046.5","6.000","7.000","11.833","6.233","0.058"
"30","2","8.000","9.046","0.096","-74.400","12984.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.000","9.019","0.100","-131.400","12915.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.000","8.822","0.103","-111.900","12865.5","7.000","7.000","11.500","6.100","0.064"
"33","2","8.000","8.684","0.107","-98.700","12807.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","8.601","0.111","-132.000","12761.9","7.000","7.000","11.278","6.011","0.068"
"35","2","8.000","8.419","0.116","-90.300","12712.4","7.000","7.000","11.167","5.967","0.070"
"36","2","8.000","8.385","0.120","-145.500","12662.4","7.000","7.000","11.056","5.922","0.072"
"37","2","8.000","8.172","0.125","-86.100","12619.5","7.000","7.000","10.944","5.878","0.074"
"38","2","8.000","8.221","0.129","-149.700","12563.0","7.000","7.000","10.833","5.833","0.076"
"39","2","8.000","8.020","0.134","-122.700","12518.1","7.000","7.000","10.722","5.789","0.078"
"40","2","8.000","7.990","0.139","-116.400","12458.9","7.000","7.000","10.611","5.744","0.080"
