"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","12.000","6.633","0.000","-279.900","13999.8","1.000","1.000","8.500","5.000","0.000"
"1","1","12.000","7.029","0.000","-306.900","13992.3","1.000","1.000","8.808","5.231","0.002"
"2","1","12.000","7.395","0.010","-283.200","14000.4","1.000","1.000","9.115","5.462","0.004"
"3","1","12.000","7.786","0.018","-309.300","13992.0","1.000","1.000","9.423","5.692","0.006"
"4","1","12.000","8.107","0.023","-327.000","13999.4","1.000","1.000","9.731","5.923","0.008"
"5","1","12.000","8.397","0.028","-246.900","13993.2","2.000","1.000","10.038","6.154","0.010"
"6","1","12.000","8.887","0.033","-321.300","14000.5","2.000","1.000","10.346","6.385","0.012"
"7","1","12.000","9.141","0.037","-211.800","13996.9","2.000","2.000","10.500","6.500","0.014"
"8","1","12.000","9.266","0.042","-144.900","14000.6","3.000","2.000","10.656","6.500","0.016"
"9","1","12.000","9.547","0.046","-96.900","13998.4","3.000","2.000","10.811","6.500","0.018"
"10","1","12.000","9.895","0.050","-246.600","13997.6","3.000","2.000","10.967","6.500","0.020"
"11","1","12.000","9.865","0.054","-144.000","13999.9","4.000","2.000","11.122","6.500","0.022"
"12","1","12.000","10.068","0.058","-163.800","13996.5","4.000","3.000","11.200","6.500","0.024"
"13","1","12.000","10.259","0.062","-156.900","14002.3","4.000","3.000","11.325","6.500","0.026"
"14","1","12.000","10.385","0.066","-185.400","13996.6","4.000","3.000","11.450","6.500","0.028"
"15","2","11.800","10.457","0.069","-137.700","13995.9","6.000","6.000","12.000","6.500","0.030"
"16","2","11.600","10.579","0.073","-158.100","13953.2","6.000","6.000","12.063","6.500","0.032"
"17","2","11.400","10.661","0.077","-150.000","13906.6","6.000","6.000","12.125","6.500","0.034"
"18","2","11.200","10.713","0.081","-150.600","13841.5","6.000","6.000","12.188","6.500","0.036"
"19","2","11.000","10.744","0.087","-165.300","13785.7","6.000","6.000","12.250","6.500","0.038"
"20","2","10.800","10.742","0.092","-109.800","13716.1","6.000","6.000","12.313","6.500","0.040"
"21","2","10.600","10.841","0.097","-189.900","13651.4","6.000","6.000","12.375","6.500","0.042"
"22","2","10.400","10.776","0.102","-155.400","13580.1","6.000","6.000","12.438","6.500","0.044"
"23","2","10.200","10.908","0.107","-258.300","13507.6","6.000","7.000","12.500","6.500","0.046"
"24","2","10.000","10.786","0.111","-147.000","13433.8","6.000","7.000","12.389","6.456","0.048"
"25","2","9.800","10.848","0.115","-203.100","13349.2","6.000","7.000","12.278","6.411","0.050"
"26","2","9.600","10.757","0.119","-155.100","13275.0","6.000","7.000","12.167","6.367","0.052"
"27","2","9.400","10.711","0.123","-179.400","13189.3","6.000","7.000","12.056","6.322","0.054"
"28","2","9.200","10.584","0.126","-165.600","13120.2","6.000","7.000","11.944","6.278","0.056"
"29","2","9.000","10.481","0.129","-138.300","13042.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.800","10.396","0.132","-171.900","12977.6","7.000","7.000","11.722","6.189","0.060"
"31","2","8.600","10.182","0.135","-89.700","12914.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.400","10.181","0.138","-191.100","12855.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.200","9.827","0.140","-64.500","12807.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.865","0.142","-138.300","12751.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.800","9.579","0.144","-109.200","12710.3","7.000","7.000","11.167","5.967","0.070"
"36","2","7.600","9.436","0.146","-74.400","12657.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.400","9.285","0.148","-122.100","12612.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.200","9.032","0.150","-35.400","12562.8","7.000","7.000","10.833","5.833","0.076"
"39","2","7.000","8.998","0.151","-134.100","12507.2","7.000","7.000","10.722","5.789","0.078"
"40","2","6.800","8.597","0.152","-17.700","12459.0","7.000","7.000","10.611","5.744","0.080"
"41","2","6.600","8.653","0.154","-87.000","12394.9","7.000","7.000","10.500","5.700","0.082"
"42","2","6.400","8.304","0.154","-69.300","12340.4","7.000","7.000","10.389","5.656","0.084"
"43","2","6.200","8.173","0.155","-8.400","12274.1","7.000","7.000","10.278","5.611","0.086"
"44","2","6.000","8.058","0.156","-99.000","12206.6","7.000","7.000","10.167","5.567","0.088"
"45","2","5.800","7.742","0.156","10.500","12142.5","7.000","7.000","10.056","5.522","0.090"
"46","2","5.600","7.729","0.157","-68.100","12066.0","7.000","7.000","9.944","5.478","0.092"
"47","2","5.400","7.370","0.157","-14.100","12001.6","7.000","7.000","9.833","5.433","0.094"
"48","2","5.200","7.315","0.156","-7.200","11925.8","7.000","7.000","9.722","5.389","0.096"
"49","2","5.000","7.101","0.156","-61.800","11852.6","7.000","7.000","9.611","5.344","0.098"
"50","2","4.800","6.864","0.155","33.600","11784.5","7.000","8.000","9.500","5.300","0.100"
"51","2","4.600","6.804","0.154","-35.400","11705.6","7.000","8.000","9.380","5.264","0.102"
"52","2","4.400","6.483","0.153","9.000","11639.3","7.000","8.000","9.260","5.228","0.104"
"53","2","4.200","6.357","0.152","41.700","11566.1","7.000","8.000","9.140","5.192","0.106"
"54","2","4.000","6.180","0.150","-20.700","11493.6","7.000","8.000","9.020","5.156","0.108"
"55","2","4.000","5.907","0.148","49.800","11432.2","7.000","8.000","8.900","5.120","0.110"
"56","2","4.000","5.778","0.145","29.700","11360.4","7.000","8.000","8.780","5.084","0.112"
"57","2","4.000","5.515","0.142","25.200","11300.1","7.000","8.000","8.660","5.048","0.114"
"58","2","4.000","5.288","0.139","95.700","11239.4","7.000","8.000","8.540","5.012","0.116"
"59","2","4.000","5.161","0.137","21.900","11173.2","7.000","8.000","8.420","4.976","0.118"
"60","2","4.000","4.805","0.135","87.600","11118.7","7.000","8.000","8.300","4.940","0.120"
"61","2","4.000","4.658","0.134","109.500","11054.3","7.000","8.000","8.180","4.904","0.122"
"62","2","4.000","4.451","0.133","40.800","10990.7","7.000","8.000","8.060","4.868","0.124"
"63","2","4.000","4.173","0.133","95.700","10932.9","7.000","8.000","7.940","4.832","0.126"
"64","2","4.000","4.107","0.134","35.100","10863.5","7.000","8.000","7.820","4.796","0.128"
"65","2","4.000","3.861","0.135","15.300","10798.4","8.000","8.000","7.700","4.760","0.130"
"66","2","4.000","3.729","0.137","66.000","10734.4","8.000","8.000","7.580","4.724","0.132"
"67","2","4.000","3.707","0.139","-19.200","10659.3","8.000","8.000","7.460","4.688","0.134"
"68","2","4.000","3.529","0.142","-7.200","10593.4","8.000","8.000","7.340","4.652","0.136"
"69","2","4.000","3.521","0.145","6.900","10522.8","8.000","8.000","7.220","4.616","0.138"
"70","2","4.000","3.513","0.148","-67.800","10446.0","8.000","8.000","7.100","4.580","0.140"
"71","2","4.000","3.376","0.152","-4.200","10379.0","8.000","8.000","6.980","4.544","0.142"
"72","2","4.000","3.488","0.156","-44.400","10306.1","8.000","8.000","6.860","4.508","0.144"
"73","2","4.000","3.492","0.160","-111.300","10229.4","8.000","8.000","6.740","4.472","0.146"
"74","2","4.000","3.400","0.164","-30.300","10162.9","8.000","8.000","6.620","4.436","0.148"
"75","2","4.000","3.556","0.169","-82.200","10089.5","8.000","9.000","6.500","4.400","0.150"
"76","2","4.000","3.596","0.173","-125.100","10013.6","8.000","9.000","6.499","4.398","0.152"
"77","2","4.000","3.579","0.177","-55.500","9947.4","8.000","9.000","6.498","4.395","0.154"
"78","2","4.000","3.730","0.181","-107.100","9874.4","8.000","9.000","6.496","4.393","0.156"
"79","2","4.000","3.802","0.185","-136.800","9798.1","8.000","9.000","6.495","4.391","0.158"
"80","2","4.000","3.769","0.189","-70.800","9731.2","8.000","9.000","6.494","4.388","0.160"
"81","2","4.000","3.921","0.193","-114.000","9657.7","8.000","9.000","6.493","4.386","0.162"
"82","2","4.000","3.997","0.196","-139.200","9579.7","8.000","9.000","6.492","4.384","0.164"
"83","2","4.000","3.943","0.200","-73.200","9509.9","8.000","9.000","6.491","4.381","0.166"
"84","2","4.000","4.099","0.203","-104.100","9435.6","8.000","9.000","6.489","4.379","0.168"
"85","2","4.000","4.152","0.206","-138.000","9355.4","8.000","9.000","6.488","4.376","0.170"
"86","2","4.000","4.056","0.209","-69.900","9282.2","8.000","9.000","6.487","4.374","0.172"
"87","2","4.000","4.196","0.212","-80.700","9207.8","8.000","9.000","6.486","4.372","0.174"
"88","2","4.000","4.282","0.214","-142.500","9125.9","8.000","9.000","6.485","4.369","0.176"
"89","2","4.000","4.135","0.217","-71.400","9047.8","8.000","9.000","6.484","4.367","0.178"
"90","2","4.000","4.235","0.219","-60.900","8974.0","8.000","9.000","6.482","4.365","0.180"
"91","2","4.000","4.312","0.222","-130.200","8892.1","8.000","9.000","6.481","4.362","0.182"
"92","2","4.000","4.154","0.224","-69.600","8809.6","8.000","9.000","6.480","4.360","0.184"
"93","2","4.000","4.193","0.226","-51.000","8734.4","8.000","9.000","6.479","4.358","0.186"
"94","2","4.000","4.302","0.228","-114.000","8653.6","8.000","9.000","6.478","4.355","0.188"
"95","2","4.000","4.157","0.230","-70.500","8568.1","8.000","9.000","6.476","4.353","0.190"
"96","2","4.000","4.121","0.232","-40.200","8488.1","8.000","9.000","6.475","4.351","0.192"
"97","2","4.000","4.252","0.235","-93.600","8409.4","8.000","9.000","6.474","4.348","0.194"
"98","2","4.000","4.173","0.237","-77.100","8323.0","8.000","9.000","6.473","4.346","0.196"
