"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","12.000","6.649","0.000","-279.300","13993.9","1.000","1.000","8.500","5.000","0.000"
"1","1","12.000","7.059","0.000","-291.000","13997.4","1.000","1.000","8.808","5.231","0.002"
"2","1","12.000","7.436","0.010","-273.000","13997.0","1.000","1.000","9.115","5.462","0.004"
"3","1","12.000","7.837","0.018","-315.600","13996.8","1.000","1.000","9.423","5.692","0.006"
"4","1","12.000","8.288","0.023","-238.500","13998.6","1.000","1.000","9.731","5.923","0.008"
"5","1","12.000","8.692","0.028","-337.800","13995.5","2.000","1.000","10.038","6.154","0.010"
"6","1","12.000","9.013","0.033","-258.900","14000.8","2.000","1.000","10.346","6.385","0.012"
"7","1","12.000","9.221","0.037","-243.900","13995.2","2.000","2.000","10.500","6.500","0.014"
"8","1","12.000","9.473","0.042","-88.200","14002.4","3.000","2.000","10.656","6.500","0.016"
"9","1","12.000","9.871","0.046","-158.700","13995.1","3.000","2.000","10.811","6.500","0.018"
"10","1","12.000","9.880","0.050","-206.700","14003.0","3.000","2.000","10.967","6.500","0.020"
"11","1","12.000","10.136","0.054","-145.200","13994.9","4.000","2.000","11.122","6.500","0.022"
"12","1","12.000","10.304","0.057","-166.200","14002.7","4.000","3.000","11.200","6.500","0.024"
"13","1","12.000","10.459","0.061","-167.100","13995.7","4.000","3.000","11.325","6.500","0.026"
"14","1","12.000","10.496","0.065","-184.200","14002.0","4.000","3.000","11.450","6.500","0.028"
"15","2","11.800","10.642","0.068","-128.100","13989.2","6.000","6.000","12.000","6.500","0.030"
"16","2","11.600","10.677","0.072","-188.400","13957.7","6.000","6.000","12.063","6.500","0.032"
"17","2","11.400","10.742","0.075","-129.000","13902.7","6.000","6.000","12.125","6.500","0.034"
"18","2","11.200","10.769","0.080","-180.900","13841.8","6.000","6.000","12.188","6.500","0.036"
"19","2","11.000","10.721","0.085","-133.200","13782.4","6.000","6.000","12.250","6.500","0.038"
"20","2","10.800","10.754","0.091","-165.600","13713.0","6.000","6.000","12.313","6.500","0.040"
"21","2","10.600","10.686","0.096","-136.800","13651.0","6.000","6.000","12.375","6.500","0.042"
"22","2","10.400","10.798","0.100","-201.900","13574.1","6.000","6.000","12.438","6.500","0.044"
"23","2","10.200","10.644","0.105","-225.300","13509.2","6.000","7.000","12.500","6.500","0.046"
"24","2","10.000","10.642","0.110","-178.500","13425.9","6.000","7.000","12.389","6.456","0.048"
"25","2","9.800","10.576","0.114","-173.100","13352.4","6.000","7.000","12.278","6.411","0.050"
"26","2","9.600","10.540","0.118","-173.100","13267.9","6.000","7.000","12.167","6.367","0.052"
"27","2","9.400","10.355","0.122","-189.600","13191.7","6.000","7.000","12.056","6.322","0.054"
"28","2","9.200","10.315","0.125","-129.600","13117.3","6.000","7.000","11.944","6.278","0.056"
"29","2","9.000","10.151","0.129","-189.000","13042.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.800","10.007","0.132","-113.100","12981.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.600","9.961","0.135","-152.700","12913.8","7.000","7.000","11.611","6.144","0.062"
"32","2","8.400","9.666","0.138","-145.800","12865.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.200","9.648","0.141","-96.000","12807.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.398","0.143","-147.600","12761.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.800","9.317","0.146","-88.200","12712.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.600","9.066","0.148","-134.700","12661.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.400","8.959","0.151","-65.100","12618.5","7.000","7.000","10.944","5.878","0.074"
"38","2","7.200","8.805","0.153","-118.500","12561.2","7.000","7.000","10.833","5.833","0.076"
"39","2","7.000","8.523","0.155","-92.400","12515.1","7.000","7.000","10.722","5.789","0.078"
"40","2","6.800","8.519","0.157","-51.600","12456.3","7.000","7.000","10.611","5.744","0.080"
"41","2","6.600","8.191","0.158","-119.400","12398.6","7.000","7.000","10.500","5.700","0.082"
"42","2","6.400","8.139","0.160","-31.200","12340.5","7.000","7.000","10.389","5.656","0.084"
"43","2","6.200","7.911","0.161","-92.400","12270.9","7.000","7.000","10.278","5.611","0.086"
"44","2","6.000","7.735","0.162","-50.700","12211.0","7.000","7.000","10.167","5.567","0.088"
"45","2","5.800","7.617","0.164","-48.300","12137.2","7.000","7.000","10.056","5.522","0.090"
"46","2","5.600","7.349","0.164","-72.600","12069.7","7.000","7.000","9.944","5.478","0.092"
"47","2","5.400","7.280","0.165","-16.500","11999.8","7.000","7.000","9.833","5.433","0.094"
"48","2","5.200","7.028","0.165","-56.400","11923.7","7.000","7.000","9.722","5.389","0.096"
"49","2","5.000","6.870","0.166","-25.500","11857.9","7.000","7.000","9.611","5.344","0.098"
"50","2","4.800","6.719","0.166","-18.600","11780.6","7.000","8.000","9.500","5.300","0.100"
"51","2","4.600","6.508","0.165","-39.600","11710.3","7.000","8.000","9.380","5.264","0.102"
"52","2","4.400","6.374","0.165","2.700","11641.0","7.000","8.000","9.260","5.228","0.104"
"53","2","4.200","6.200","0.164","-18.900","11565.1","7.000","8.000","9.140","5.192","0.106"
"54","2","4.000","5.997","0.163","-6.600","11502.1","7.000","8.000","9.020","5.156","0.108"
"55","2","4.000","5.856","0.161","30.000","11431.5","7.000","8.000","8.900","5.120","0.110"
"56","2","4.000","5.626","0.159","-5.700","11365.1","7.000","8.000","8.780","5.084","0.112"
"57","2","4.000","5.461","0.157","45.300","11306.7","7.000","8.000","8.660","5.048","0.114"
"58","2","4.000","5.282","0.155","28.500","11238.5","7.000","8.000","8.540","5.012","0.116"
"59","2","4.000","5.010","0.153","30.900","11181.4","7.000","8.000","8.420","4.976","0.118"
"60","2","4.000","4.877","0.152","85.500","11120.3","7.000","8.000","8.300","4.940","0.120"
"61","2","4.000","4.641","0.151","54.300","11054.0","7.000","8.000","8.180","4.904","0.122"
"62","2","4.000","4.432","0.151","66.000","10997.6","7.000","8.000","8.060","4.868","0.124"
"63","2","4.000","4.335","0.151","68.400","10930.6","7.000","8.000","7.940","4.832","0.126"
"64","2","4.000","4.113","0.152","6.900","10863.7","7.000","8.000","7.820","4.796","0.128"
"65","2","4.000","4.009","0.153","39.300","10802.5","8.000","8.000","7.700","4.760","0.130"
"66","2","4.000","3.964","0.155","13.200","10729.3","8.000","8.000","7.580","4.724","0.132"
"67","2","4.000","3.826","0.157","-29.700","10660.7","8.000","8.000","7.460","4.688","0.134"
"68","2","4.000","3.788","0.160","8.400","10593.9","8.000","8.000","7.340","4.652","0.136"
"69","2","4.000","3.773","0.163","-19.200","10516.4","8.000","8.000","7.220","4.616","0.138"
"70","2","4.000","3.688","0.166","-36.600","10447.4","8.000","8.000","7.100","4.580","0.140"
"71","2","4.000","3.723","0.169","-19.200","10377.0","8.000","8.000","6.980","4.544","0.142"
"72","2","4.000","3.713","0.172","-69.000","10299.4","8.000","8.000","6.860","4.508","0.144"
"73","2","4.000","3.644","0.176","-71.100","10231.3","8.000","8.000","6.740","4.472","0.146"
"74","2","4.000","3.726","0.180","-43.500","10159.9","8.000","8.000","6.620","4.436","0.148"
"75","2","4.000","3.735","0.183","-94.200","10082.6","8.000","9.000","6.500","4.400","0.150"
"76","2","4.000","3.694","0.187","-93.600","10015.0","8.000","9.000","6.499","4.398","0.152"
"77","2","4.000","3.778","0.191","-63.000","9943.4","8.000","9.000","6.498","4.395","0.154"
"78","2","4.000","3.823","0.194","-98.400","9866.4","8.000","9.000","6.496","4.393","0.156"
"79","2","4.000","3.773","0.198","-107.700","9798.3","8.000","9.000","6.495","4.391","0.158"
