"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","12.000","6.715","0.000","-303.300","13993.7","1.000","1.000","8.500","5.000","0.000"
"1","1","12.000","7.000","0.000","-303.900","13999.2","1.000","1.000","8.808","5.231","0.002"
"2","1","12.000","7.508","0.010","-274.800","13993.6","1.000","1.000","9.115","5.462","0.004"
"3","1","12.000","7.894","0.018","-295.500","14001.3","1.000","1.000","9.423","5.692","0.006"
"4","1","12.000","8.332","0.023","-305.400","13994.3","1.000","1.000","9.731","5.923","0.008"
"5","1","12.000","8.697","0.028","-282.600","14002.1","2.000","1.000","10.038","6.154","0.010"
"6","1","12.000","9.125","0.033","-305.700","13993.3","2.000","1.000","10.346","6.385","0.012"
"7","1","12.000","9.266","0.037","-230.400","14001.0","2.000","2.000","10.500","6.500","0.014"
"8","1","12.000","9.542","0.042","-110.400","13994.2","3.000","2.000","10.656","6.500","0.016"
"9","1","12.000","9.884","0.046","-164.100","14001.1","3.000","2.000","10.811","6.500","0.018"
"10","1","12.000","10.013","0.050","-202.200","13997.2","3.000","2.000","10.967","6.500","0.020"
"11","1","12.000","10.120","0.054","-178.500","14001.3","4.000","2.000","11.122","6.500","0.022"
"12","1","12.000","10.335","0.058","-143.100","13999.3","4.000","3.000","11.200","6.500","0.024"
"13","1","12.000","10.462","0.061","-202.500","13998.6","4.000","3.000","11.325","6.500","0.026"
"14","1","12.000","10.500","0.065","-148.800","14000.5","4.000","3.000","11.450","6.500","0.028"
"15","2","11.800","10.634","0.069","-180.300","13989.5","6.000","6.000","12.000","6.500","0.030"
"16","2","11.600","10.654","0.072","-136.800","13959.5","6.000","6.000","12.063","6.500","0.032"
"17","2","11.400","10.762","0.076","-169.800","13899.6","6.000","6.000","12.125","6.500","0.034"
"18","2","11.200","10.730","0.080","-147.300","13848.6","6.000","6.000","12.188","6.500","0.036"
"19","2","11.000","10.765","0.086","-157.800","13780.8","6.000","6.000","12.250","6.500","0.038"
"20","2","10.800","10.713","0.091","-141.600","13723.8","6.000","6.000","12.313","6.500","0.040"
"21","2","10.600","10.767","0.096","-152.700","13650.9","6.000","6.000","12.375","6.500","0.042"
"22","2","10.400","10.751","0.101","-201.300","13587.3","6.000","6.000","12.438","6.500","0.044"
"23","2","10.200","10.757","0.106","-210.300","13513.3","6.000","7.000","12.500","6.500","0.046"
"24","2","10.000","10.657","0.110","-202.800","13441.4","6.000","7.000","12.389","6.456","0.048"
"25","2","9.800","10.658","0.114","-143.100","13363.8","6.000","7.000","12.278","6.411","0.050"
"26","2","9.600","10.619","0.118","-209.100","13280.8","6.000","7.000","12.167","6.367","0.052"
"27","2","9.400","10.434","0.122","-149.100","13206.5","6.000","7.000","12.056","6.322","0.054"
"28","2","9.200","10.442","0.126","-168.600","13123.4","6.000","7.000","11.944","6.278","0.056"
"29","2","9.000","10.221","0.129","-153.300","13056.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.800","10.183","0.132","-134.700","12981.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.600","9.993","0.135","-150.600","12922.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.400","9.890","0.138","-120.600","12861.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.200","9.700","0.141","-138.900","12806.6","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.574","0.143","-89.100","12759.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.800","9.454","0.146","-140.700","12704.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.600","9.199","0.148","-82.200","12663.5","7.000","7.000","11.056","5.922","0.072"
"37","2","7.400","9.187","0.150","-92.700","12609.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.200","8.901","0.152","-105.300","12563.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.000","8.824","0.154","-60.000","12511.8","7.000","7.000","10.722","5.789","0.078"
"40","2","6.800","8.618","0.156","-99.600","12455.8","7.000","7.000","10.611","5.744","0.080"
"41","2","6.600","8.487","0.157","-46.500","12404.9","7.000","7.000","10.500","5.700","0.082"
"42","2","6.400","8.344","0.158","-89.700","12339.0","7.000","7.000","10.389","5.656","0.084"
"43","2","6.200","8.129","0.159","-39.900","12282.8","7.000","7.000","10.278","5.611","0.086"
"44","2","6.000","8.075","0.160","-52.200","12214.6","7.000","7.000","10.167","5.567","0.088"
"45","2","5.800","7.776","0.161","-66.600","12146.8","7.000","7.000","10.056","5.522","0.090"
"46","2","5.600","7.705","0.161","-9.600","12081.4","7.000","7.000","9.944","5.478","0.092"
"47","2","5.400","7.505","0.161","-60.000","12005.1","7.000","7.000","9.833","5.433","0.094"
"48","2","5.200","7.340","0.161","-6.300","11940.1","7.000","7.000","9.722","5.389","0.096"
"49","2","5.000","7.220","0.160","-25.200","11864.3","7.000","7.000","9.611","5.344","0.098"
"50","2","4.800","6.982","0.160","-30.900","11791.3","7.000","8.000","9.500","5.300","0.100"
"51","2","4.600","6.869","0.159","15.600","11723.4","7.000","8.000","9.380","5.264","0.102"
"52","2","4.400","6.664","0.158","-12.300","11645.0","7.000","8.000","9.260","5.228","0.104"
"53","2","4.200","6.477","0.156","15.900","11579.7","7.000","8.000","9.140","5.192","0.106"
"54","2","4.000","6.329","0.154","23.400","11507.7","7.000","8.000","9.020","5.156","0.108"
"55","2","4.000","6.083","0.152","3.600","11436.8","7.000","8.000","8.900","5.120","0.110"
"56","2","4.000","5.893","0.149","60.600","11377.1","7.000","8.000","8.780","5.084","0.112"
"57","2","4.000","5.727","0.146","39.300","11307.2","7.000","8.000","8.660","5.048","0.114"
"58","2","4.000","5.442","0.142","41.400","11248.0","7.000","8.000","8.540","5.012","0.116"
"59","2","4.000","5.283","0.140","105.300","11188.3","7.000","8.000","8.420","4.976","0.118"
"60","2","4.000","5.044","0.137","51.300","11122.1","7.000","8.000","8.300","4.940","0.120"
"61","2","4.000","4.761","0.136","108.300","11067.4","7.000","8.000","8.180","4.904","0.122"
"62","2","4.000","4.670","0.135","116.700","11003.2","7.000","8.000","8.060","4.868","0.124"
"63","2","4.000","4.414","0.134","32.700","10937.8","7.000","8.000","7.940","4.832","0.126"
"64","2","4.000","4.236","0.134","83.400","10879.4","7.000","8.000","7.820","4.796","0.128"
"65","2","4.000","4.153","0.135","52.200","10809.6","8.000","8.000","7.700","4.760","0.130"
"66","2","4.000","3.973","0.136","11.100","10742.5","8.000","8.000","7.580","4.724","0.132"
"67","2","4.000","3.920","0.138","55.800","10678.5","8.000","8.000","7.460","4.688","0.134"
"68","2","4.000","3.875","0.140","0.000","10602.7","8.000","8.000","7.340","4.652","0.136"
"69","2","4.000","3.790","0.142","-12.300","10534.3","8.000","8.000","7.220","4.616","0.138"
"70","2","4.000","3.801","0.145","4.800","10464.5","8.000","8.000","7.100","4.580","0.140"
"71","2","4.000","3.768","0.148","-42.000","10386.8","8.000","8.000","6.980","4.544","0.142"
"72","2","4.000","3.735","0.151","-20.100","10319.0","8.000","8.000","6.860","4.508","0.144"
"73","2","4.000","3.804","0.154","-33.900","10247.2","8.000","8.000","6.740","4.472","0.146"
"74","2","4.000","3.792","0.157","-73.800","10170.3","8.000","8.000","6.620","4.436","0.148"
"75","2","4.000","3.828","0.160","-40.500","10103.3","8.000","9.000","6.500","4.400","0.150"
"76","2","4.000","3.923","0.164","-61.500","10030.9","8.000","9.000","6.499","4.398","0.152"
"77","2","4.000","3.944","0.167","-83.700","9954.1","8.000","9.000","6.498","4.395","0.154"
"78","2","4.000","4.000","0.170","-56.700","9886.7","8.000","9.000","6.496","4.393","0.156"
"79","2","4.000","4.102","0.173","-74.400","9814.5","8.000","9.000","6.495","4.391","0.158"
"80","2","4.000","4.128","0.176","-93.000","9737.3","8.000","9.000","6.494","4.388","0.160"
"81","2","4.000","4.167","0.178","-62.400","9668.2","8.000","9.000","6.493","4.386","0.162"
"82","2","4.000","4.273","0.181","-74.700","9595.1","8.000","9.000","6.492","4.384","0.164"
"83","2","4.000","4.277","0.183","-92.100","9515.6","8.000","9.000","6.491","4.381","0.166"
"84","2","4.000","4.316","0.185","-62.100","9443.3","8.000","9.000","6.489","4.379","0.168"
"85","2","4.000","4.403","0.187","-66.300","9369.6","8.000","9.000","6.488","4.376","0.170"
"86","2","4.000","4.398","0.189","-87.000","9288.1","8.000","9.000","6.487","4.374","0.172"
"87","2","4.000","4.390","0.191","-63.300","9211.2","8.000","9.000","6.486","4.372","0.174"
"88","2","4.000","4.465","0.192","-51.900","9137.4","8.000","9.000","6.485","4.369","0.176"
"89","2","4.000","4.432","0.194","-80.400","9055.7","8.000","9.000","6.484","4.367","0.178"
"90","2","4.000","4.379","0.195","-56.400","8974.7","8.000","9.000","6.482","4.365","0.180"
"91","2","4.000","4.435","0.197","-42.600","8900.3","8.000","9.000","6.481","4.362","0.182"
"92","2","4.000","4.379","0.198","-69.600","8819.0","8.000","9.000","6.480","4.360","0.184"
"93","2","4.000","4.329","0.199","-50.100","8734.9","8.000","9.000","6.479","4.358","0.186"
"94","2","4.000","4.336","0.201","-40.800","8657.7","8.000","9.000","6.478","4.355","0.188"
"95","2","4.000","4.297","0.202","-52.500","8578.4","8.000","9.000","6.476","4.353","0.190"
"96","2","4.000","4.250","0.203","-51.300","8492.6","8.000","9.000","6.475","4.351","0.192"
"97","2","4.000","4.236","0.205","-46.500","8409.5","8.000","9.000","6.474","4.348","0.194"
"98","2","4.000","4.184","0.206","-49.200","8330.6","8.000","9.000","6.473","4.346","0.196"
"99","2","4.000","4.150","0.208","-42.300","8245.5","8.000","9.000","6.472","4.344","0.198"
"100","2","4.000","4.130","0.210","-55.200","8157.6","8.000","9.000","6.471","4.341","0.200"
"101","2","4.000","4.064","0.211","-55.200","8074.0","8.000","9.000","6.469","4.339","0.202"
"102","2","4.000","4.058","0.213","-38.700","7991.1","8.000","9.000","6.468","4.336","0.204"
"103","2","4.000","4.059","0.215","-49.200","7900.9","8.000","9.000","6.467","4.334","0.206"
"104","2","4.000","4.021","0.217","-66.900","7810.5","8.000","9.000","6.466","4.332","0.208"
"105","2","4.000","3.972","0.219","-54.300","7725.8","8.000","9.000","6.465","4.329","0.210"
"106","2","4.000","3.981","0.222","-47.400","7638.7","8.000","9.000","6.464","4.327","0.212"
"107","2","4.000","3.974","0.224","-69.300","7546.8","8.000","9.000","6.462","4.325","0.214"
"108","2","4.000","3.902","0.226","-80.100","7456.5","8.000","9.000","6.461","4.322","0.216"
"109","2","4.000","3.845","0.229","-67.200","7390.6","8.000","9.000","6.460","4.320","0.218"
"110","2","4.000","3.868","0.231","-46.200","7330.4","8.000","9.000","6.459","4.318","0.220"
