"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","12.000","6.751","0.000","-290.700","13998.8","1.000","1.000","8.500","5.000","0.000"
"1","1","12.000","7.157","0.000","-290.700","13993.6","1.000","1.000","8.808","5.231","0.002"
"2","1","12.000","7.590","0.010","-267.000","14002.5","1.000","1.000","9.115","5.462","0.004"
"3","1","12.000","7.992","0.018","-303.900","13993.8","1.000","1.000","9.423","5.692","0.006"
"4","1","12.000","8.372","0.023","-292.200","14000.6","1.000","1.000","9.731","5.923","0.008"
"5","1","12.000","8.794","0.028","-273.600","13993.9","2.000","1.000","10.038","6.154","0.010"
"6","1","12.000","9.195","0.033","-325.200","14000.2","2.000","1.000","10.346","6.385","0.012"
"7","1","12.000","9.380","0.037","-204.300","13995.9","2.000","2.000","10.500","6.500","0.014"
"8","1","12.000","9.596","0.041","-139.500","14000.6","3.000","2.000","10.656","6.500","0.016"
"9","1","12.000","9.890","0.046","-125.700","13998.2","3.000","2.000","10.811","6.500","0.018"
"10","1","12.000","10.136","0.050","-237.600","13999.2","3.000","2.000","10.967","6.500","0.020"
"11","1","12.000","10.087","0.053","-149.100","13999.9","4.000","2.000","11.122","6.500","0.022"
"12","1","12.000","10.404","0.057","-151.500","13996.5","4.000","3.000","11.200","6.500","0.024"
"13","1","12.000","10.489","0.061","-195.000","14002.1","4.000","3.000","11.325","6.500","0.026"
"14","1","12.000","10.570","0.065","-152.400","13996.6","4.000","3.000","11.450","6.500","0.028"
"15","2","11.800","10.667","0.068","-156.000","13995.5","6.000","6.000","12.000","6.500","0.030"
"16","2","11.600","10.771","0.072","-155.100","13953.1","6.000","6.000","12.063","6.500","0.032"
"17","2","11.400","10.782","0.075","-164.700","13906.3","6.000","6.000","12.125","6.500","0.034"
"18","2","11.200","10.808","0.080","-149.400","13841.4","6.000","6.000","12.188","6.500","0.036"
"19","2","11.000","10.795","0.085","-167.100","13785.6","6.000","6.000","12.250","6.500","0.038"
"20","2","10.800","10.723","0.090","-134.700","13715.2","6.000","6.000","12.313","6.500","0.040"
"21","2","10.600","10.744","0.095","-170.400","13652.1","6.000","6.000","12.375","6.500","0.042"
"22","2","10.400","10.701","0.100","-177.900","13581.0","6.000","6.000","12.438","6.500","0.044"
"23","2","10.200","10.739","0.105","-236.400","13508.3","6.000","7.000","12.500","6.500","0.046"
"24","2","10.000","10.563","0.109","-171.000","13433.1","6.000","7.000","12.389","6.456","0.048"
"25","2","9.800","10.613","0.114","-176.700","13348.9","6.000","7.000","12.278","6.411","0.050"
"26","2","9.600","10.483","0.118","-175.800","13274.3","6.000","7.000","12.167","6.367","0.052"
"27","2","9.400","10.400","0.122","-169.200","13188.8","6.000","7.000","12.056","6.322","0.054"
