"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","8.000","6.758","0.000","-327.300","13992.5","1.000","1.000","8.500","5.000","0.000"
"1","1","8.000","7.076","0.000","-276.000","14001.5","1.000","1.000","8.808","5.231","0.002"
"2","1","8.000","7.565","0.010","-268.800","13993.7","1.000","1.000","9.115","5.462","0.004"
"3","1","8.000","8.001","0.018","-321.600","14000.5","1.000","1.000","9.423","5.692","0.006"
"4","1","8.000","8.334","0.023","-257.700","13995.0","1.000","1.000","9.731","5.923","0.008"
"5","1","8.000","8.856","0.028","-320.700","13999.8","2.000","1.000","10.038","6.154","0.010"
"6","1","8.000","9.190","0.032","-280.800","13997.0","2.000","1.000","10.346","6.385","0.012"
"7","1","8.000","9.490","0.036","-236.400","13998.6","2.000","2.000","10.500","6.500","0.014"
"8","1","8.000","9.641","0.040","-106.500","13998.8","3.000","2.000","10.656","6.500","0.016"
"9","1","8.000","10.014","0.043","-168.900","13997.3","3.000","2.000","10.811","6.500","0.018"
"10","1","8.000","10.149","0.046","-164.400","14000.9","3.000","2.000","10.967","6.500","0.020"
"11","1","8.000","10.270","0.049","-171.000","13996.1","4.000","2.000","11.122","6.500","0.022"
"12","1","8.000","10.407","0.051","-134.700","14002.6","4.000","3.000","11.200","6.500","0.024"
"13","1","8.000","10.516","0.053","-153.300","13995.8","4.000","3.000","11.325","6.500","0.026"
"14","1","8.000","10.583","0.055","-129.900","14004.1","4.000","3.000","11.450","6.500","0.028"
"15","2","7.900","10.655","0.057","-139.200","13987.1","6.000","6.000","12.000","6.500","0.030"
"16","2","7.800","10.655","0.059","-138.000","13960.4","6.000","6.000","12.063","6.500","0.032"
"17","2","7.700","10.609","0.061","-90.300","13899.1","6.000","6.000","12.125","6.500","0.034"
"18","2","7.600","10.678","0.063","-138.000","13845.6","6.000","6.000","12.188","6.500","0.036"
"19","2","7.500","10.534","0.065","-106.800","13779.4","6.000","6.000","12.250","6.500","0.038"
"20","2","7.400","10.514","0.067","-106.500","13717.2","6.000","6.000","12.313","6.500","0.040"
"21","2","7.300","10.412","0.069","-78.900","13649.3","6.000","6.000","12.375","6.500","0.042"
"22","2","7.200","10.392","0.071","-145.200","13578.6","6.000","6.000","12.438","6.500","0.044"
"23","2","7.100","10.204","0.072","-98.400","13510.9","6.000","7.000","12.500","6.500","0.046"
"24","2","7.000","10.150","0.074","-102.900","13431.3","6.000","7.000","12.389","6.456","0.048"
"25","2","6.900","10.000","0.075","-79.200","13358.6","6.000","7.000","12.278","6.411","0.050"
"26","2","6.800","9.874","0.075","-93.300","13271.7","6.000","7.000","12.167","6.367","0.052"
