"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","8.000","6.815","0.000","-309.600","13992.5","1.000","1.000","8.500","5.000","0.000"
"1","1","8.000","7.197","0.000","-258.600","13998.6","1.000","1.000","8.808","5.231","0.002"
"2","1","8.000","7.678","0.010","-287.400","13992.5","1.000","1.000","9.115","5.462","0.004"
"3","1","8.000","8.036","0.018","-303.600","14001.4","1.000","1.000","9.423","5.692","0.006"
"4","1","8.000","8.440","0.023","-284.400","13993.7","1.000","1.000","9.731","5.923","0.008"
"5","1","8.000","8.785","0.028","-316.500","14002.0","2.000","1.000","10.038","6.154","0.010"
"6","1","8.000","9.170","0.032","-287.100","13994.1","2.000","1.000","10.346","6.385","0.012"
"7","1","8.000","9.366","0.036","-245.400","14000.8","2.000","2.000","10.500","6.500","0.014"
"8","1","8.000","9.493","0.040","-117.300","13995.6","3.000","2.000","10.656","6.500","0.016"
"9","1","8.000","9.892","0.043","-136.500","14000.9","3.000","2.000","10.811","6.500","0.018"
"10","1","8.000","9.945","0.046","-202.800","13997.6","3.000","2.000","10.967","6.500","0.020"
"11","1","8.000","10.067","0.049","-138.900","13999.6","4.000","2.000","11.122","6.500","0.022"
"12","1","8.000","10.230","0.051","-129.000","13999.2","4.000","3.000","11.200","6.500","0.024"
"13","1","8.000","10.368","0.054","-160.800","13997.8","4.000","3.000","11.325","6.500","0.026"
"14","1","8.000","10.403","0.056","-124.200","14001.1","4.000","3.000","11.450","6.500","0.028"
"15","2","7.900","10.511","0.058","-140.100","13988.8","6.000","6.000","12.000","6.500","0.030"
"16","2","7.800","10.489","0.060","-121.800","13960.5","6.000","6.000","12.063","6.500","0.032"
"17","2","7.700","10.547","0.062","-109.200","13900.7","6.000","6.000","12.125","6.500","0.034"
"18","2","7.600","10.515","0.065","-126.600","13850.7","6.000","6.000","12.188","6.500","0.036"
"19","2","7.500","10.462","0.067","-117.900","13782.6","6.000","6.000","12.250","6.500","0.038"
"20","2","7.400","10.410","0.070","-95.400","13725.5","6.000","6.000","12.313","6.500","0.040"
"21","2","7.300","10.351","0.072","-109.800","13653.9","6.000","6.000","12.375","6.500","0.042"
"22","2","7.200","10.272","0.074","-135.000","13590.3","6.000","6.000","12.438","6.500","0.044"
"23","2","7.100","10.136","0.075","-118.200","13517.1","6.000","7.000","12.500","6.500","0.046"
"24","2","7.000","10.034","0.077","-113.700","13443.5","6.000","7.000","12.389","6.456","0.048"
"25","2","6.900","9.887","0.078","-83.100","13367.1","6.000","7.000","12.278","6.411","0.050"
"26","2","6.800","9.764","0.079","-111.300","13282.7","6.000","7.000","12.167","6.367","0.052"
"27","2","6.700","9.524","0.080","-66.900","13209.4","6.000","7.000","12.056","6.322","0.054"
"28","2","6.600","9.419","0.081","-88.500","13126.0","6.000","7.000","11.944","6.278","0.056"
"29","2","6.500","9.156","0.082","-70.500","13059.2","6.000","7.000","11.833","6.233","0.058"
"30","2","6.400","9.006","0.083","-56.700","12984.3","7.000","7.000","11.722","6.189","0.060"
"31","2","6.300","8.794","0.084","-64.200","12922.7","7.000","7.000","11.611","6.144","0.062"
"32","2","6.200","8.585","0.084","-50.400","12861.9","7.000","7.000","11.500","6.100","0.064"
"33","2","6.100","8.392","0.085","-57.900","12805.3","7.000","7.000","11.389","6.056","0.066"
"34","2","6.000","8.176","0.086","-25.800","12759.6","7.000","7.000","11.278","6.011","0.068"
"35","2","5.900","8.041","0.087","-61.800","12704.5","7.000","7.000","11.167","5.967","0.070"
"36","2","5.800","7.752","0.088","-29.400","12663.2","7.000","7.000","11.056","5.922","0.072"
"37","2","5.700","7.680","0.089","-32.700","12610.1","7.000","7.000","10.944","5.878","0.074"
"38","2","5.600","7.420","0.090","-49.200","12564.4","7.000","7.000","10.833","5.833","0.076"
