"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","12.000","6.621","0.000","-276.000","13995.4","1.000","1.000","8.500","5.000","0.000"
"1","1","12.000","7.077","0.000","-305.700","13996.8","1.000","1.000","8.808","5.231","0.002"
"2","1","12.000","7.417","0.010","-283.200","13997.4","1.000","1.000","9.115","5.462","0.004"
"3","1","12.000","7.851","0.018","-298.500","13994.7","1.000","1.000","9.423","5.692","0.006"
"4","1","12.000","8.234","0.023","-291.600","13999.4","1.000","1.000","9.731","5.923","0.008"
"5","1","12.000","8.611","0.028","-305.100","13994.1","2.000","1.000","10.038","6.154","0.010"
"6","1","12.000","8.996","0.033","-285.900","14001.5","2.000","1.000","10.346","6.385","0.012"
"7","1","12.000","9.242","0.037","-229.500","13994.0","2.000","2.000","10.500","6.500","0.014"
"8","1","12.000","9.465","0.042","-67.800","14002.0","3.000","2.000","10.656","6.500","0.016"
"9","1","12.000","10.010","0.046","-134.400","13994.4","3.000","2.000","10.811","6.500","0.018"
"10","1","12.000","10.208","0.050","-289.200","14002.4","3.000","2.000","10.967","6.500","0.020"
"11","1","12.000","9.955","0.054","-159.900","13994.8","4.000","2.000","11.122","6.500","0.022"
"12","1","12.000","10.223","0.057","-156.000","14001.7","4.000","3.000","11.200","6.500","0.024"
"13","1","12.000","10.327","0.061","-194.100","13996.9","4.000","3.000","11.325","6.500","0.026"
"14","1","12.000","10.462","0.065","-134.400","14000.7","4.000","3.000","11.450","6.500","0.028"
"15","2","11.900","10.576","0.068","-161.700","13990.2","6.000","6.000","12.000","6.500","0.030"
"16","2","11.800","10.697","0.072","-137.700","13955.3","6.000","6.000","12.063","6.500","0.032"
"17","2","11.700","10.757","0.075","-142.800","13902.7","6.000","6.000","12.125","6.500","0.034"
"18","2","11.600","10.886","0.080","-147.000","13839.1","6.000","6.000","12.188","6.500","0.036"
"19","2","11.500","10.864","0.085","-158.700","13781.9","6.000","6.000","12.250","6.500","0.038"
