"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","12.000","6.381","0.000","-273.000","13992.3","1.000","1.000","8.500","5.000","0.000"
"1","1","12.000","6.871","0.000","-299.700","14000.1","1.000","1.000","8.808","5.231","0.002"
"2","1","12.000","7.250","0.010","-279.600","13994.6","1.000","1.000","9.115","5.462","0.004"
"3","1","12.000","7.712","0.018","-304.500","13999.3","1.000","1.000","9.423","5.692","0.006"
"4","1","12.000","8.108","0.023","-282.000","13996.0","1.000","1.000","9.731","5.923","0.008"
"5","1","12.000","8.550","0.028","-321.900","13998.1","2.000","1.000","10.038","6.154","0.010"
"6","1","12.000","8.923","0.033","-267.600","13998.1","2.000","1.000","10.346","6.385","0.012"
"7","1","12.000","9.284","0.037","-264.600","13996.6","2.000","2.000","10.500","6.500","0.014"
"8","1","12.000","9.387","0.041","-93.900","14000.1","3.000","2.000","10.656","6.500","0.016"
"9","1","12.000","9.749","0.045","-153.600","13994.8","3.000","2.000","10.811","6.500","0.018"
"10","1","12.000","10.071","0.049","-215.100","14001.5","3.000","2.000","10.967","6.500","0.020"
"11","1","12.000","10.095","0.053","-162.300","13995.8","4.000","2.000","11.122","6.500","0.022"
"12","1","12.000","10.303","0.057","-158.100","14004.0","4.000","3.000","11.200","6.500","0.024"
"13","1","12.000","10.450","0.060","-158.100","13994.9","4.000","3.000","11.325","6.500","0.026"
"14","1","12.000","10.624","0.064","-187.500","14003.2","4.000","3.000","11.450","6.500","0.028"
"15","2","11.900","10.630","0.067","-133.200","13987.2","6.000","6.000","12.000","6.500","0.030"
"16","2","11.800","10.804","0.071","-172.200","13959.4","6.000","6.000","12.063","6.500","0.032"
"17","2","11.700","10.798","0.074","-142.200","13900.4","6.000","6.000","12.125","6.500","0.034"
"18","2","11.600","10.904","0.079","-159.600","13843.7","6.000","6.000","12.188","6.500","0.036"
"19","2","11.500","10.869","0.084","-135.300","13779.5","6.000","6.000","12.250","6.500","0.038"
"20","2","11.400","10.920","0.089","-157.800","13714.2","6.000","6.000","12.313","6.500","0.040"
"21","2","11.300","10.889","0.094","-144.000","13649.1","6.000","6.000","12.375","6.500","0.042"
"22","2","11.200","10.886","0.099","-188.400","13575.8","6.000","6.000","12.438","6.500","0.044"
"23","2","11.100","10.932","0.104","-223.500","13509.6","6.000","7.000","12.500","6.500","0.046"
"24","2","11.000","10.819","0.108","-188.100","13427.1","6.000","7.000","12.389","6.456","0.048"
"25","2","10.900","10.785","0.113","-169.500","13353.7","6.000","7.000","12.278","6.411","0.050"
