"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","12.000","6.303","0.000","-276.300","13997.6","1.000","1.000","8.500","5.000","0.000"
"1","1","12.000","6.749","0.000","-291.000","13993.6","1.000","1.000","8.808","5.231","0.002"
"2","1","12.000","7.187","0.010","-279.000","14001.5","1.000","1.000","9.115","5.462","0.004"
"3","1","12.000","7.549","0.018","-311.400","13993.6","1.000","1.000","9.423","5.692","0.006"
"4","1","12.000","7.954","0.023","-262.200","14001.5","1.000","1.000","9.731","5.923","0.008"
"5","1","12.000","8.412","0.028","-319.200","13992.9","2.000","1.000","10.038","6.154","0.010"
"6","1","12.000","8.764","0.033","-293.700","14000.9","2.000","1.000","10.346","6.385","0.012"
"7","1","12.000","9.035","0.037","-210.900","13994.5","2.000","2.000","10.500","6.500","0.014"
"8","1","12.000","9.257","0.041","-141.900","14001.5","3.000","2.000","10.656","6.500","0.016"
"9","1","12.000","9.543","0.046","-124.800","13997.0","3.000","2.000","10.811","6.500","0.018"
"10","1","12.000","9.837","0.050","-233.400","14000.5","3.000","2.000","10.967","6.500","0.020"
"11","1","12.000","9.854","0.053","-138.600","13998.6","4.000","2.000","11.122","6.500","0.022"
"12","1","12.000","10.114","0.057","-189.300","13998.4","4.000","3.000","11.200","6.500","0.024"
"13","1","12.000","10.197","0.061","-145.500","14000.4","4.000","3.000","11.325","6.500","0.026"
"14","1","12.000","10.374","0.065","-181.200","13996.8","4.000","3.000","11.450","6.500","0.028"
"15","2","11.900","10.415","0.068","-154.200","13993.9","6.000","6.000","12.000","6.500","0.030"
"16","2","11.800","10.503","0.072","-165.000","13953.5","6.000","6.000","12.063","6.500","0.032"
"17","2","11.700","10.546","0.075","-135.900","13906.4","6.000","6.000","12.125","6.500","0.034"
"18","2","11.600","10.612","0.080","-174.300","13841.4","6.000","6.000","12.188","6.500","0.036"
"19","2","11.500","10.583","0.085","-145.200","13786.2","6.000","6.000","12.250","6.500","0.038"
"20","2","11.400","10.546","0.090","-141.000","13714.6","6.000","6.000","12.313","6.500","0.040"
"21","2","11.300","10.576","0.096","-159.600","13653.9","6.000","6.000","12.375","6.500","0.042"
"22","2","11.200","10.552","0.101","-187.500","13581.1","6.000","6.000","12.438","6.500","0.044"
"23","2","11.100","10.593","0.106","-231.600","13511.1","6.000","7.000","12.500","6.500","0.046"
"24","2","11.000","10.469","0.111","-178.200","13434.3","6.000","7.000","12.389","6.456","0.048"
"25","2","10.900","10.500","0.116","-192.600","13352.3","6.000","7.000","12.278","6.411","0.050"
"26","2","10.800","10.409","0.121","-176.400","13275.8","6.000","7.000","12.167","6.367","0.052"
"27","2","10.700","10.357","0.126","-193.200","13191.3","6.000","7.000","12.056","6.322","0.054"
"28","2","10.600","10.232","0.131","-164.100","13122.6","6.000","7.000","11.944","6.278","0.056"
"29","2","10.500","10.180","0.135","-188.700","13043.8","6.000","7.000","11.833","6.233","0.058"
"30","2","10.400","10.039","0.140","-165.000","12981.5","7.000","7.000","11.722","6.189","0.060"
"31","2","10.300","9.947","0.145","-160.200","12914.8","7.000","7.000","11.611","6.144","0.062"
"32","2","10.200","9.882","0.149","-195.600","12857.6","7.000","7.000","11.500","6.100","0.064"
"33","2","10.100","9.640","0.154","-129.300","12806.9","7.000","7.000","11.389","6.056","0.066"
"34","2","10.000","9.651","0.159","-187.800","12752.6","7.000","7.000","11.278","6.011","0.068"
"35","2","9.900","9.417","0.164","-138.600","12710.6","7.000","7.000","11.167","5.967","0.070"
"36","2","9.800","9.388","0.168","-175.500","12655.9","7.000","7.000","11.056","5.922","0.072"
"37","2","9.700","9.185","0.173","-141.600","12613.0","7.000","7.000","10.944","5.878","0.074"
"38","2","9.600","9.121","0.178","-145.200","12560.3","7.000","7.000","10.833","5.833","0.076"
"39","2","9.500","9.023","0.183","-181.500","12507.4","7.000","7.000","10.722","5.789","0.078"
"40","2","9.400","8.809","0.188","-108.000","12457.3","7.000","7.000","10.611","5.744","0.080"
"41","2","9.300","8.845","0.193","-188.400","12393.9","7.000","7.000","10.500","5.700","0.082"
"42","2","9.200","8.579","0.198","-125.700","12340.0","7.000","7.000","10.389","5.656","0.084"
"43","2","9.100","8.605","0.203","-157.800","12271.6","7.000","7.000","10.278","5.611","0.086"
"44","2","9.000","8.427","0.208","-159.900","12207.4","7.000","7.000","10.167","5.567","0.088"
"45","2","8.900","8.343","0.213","-123.300","12140.3","7.000","7.000","10.056","5.522","0.090"
"46","2","8.800","8.300","0.218","-183.300","12065.6","7.000","7.000","9.944","5.478","0.092"
"47","2","8.700","8.089","0.223","-116.100","12000.5","7.000","7.000","9.833","5.433","0.094"
"48","2","8.600","8.132","0.228","-172.800","11923.3","7.000","7.000","9.722","5.389","0.096"
"49","2","8.500","7.934","0.234","-148.800","11852.9","7.000","7.000","9.611","5.344","0.098"
"50","2","8.400","7.910","0.239","-131.700","11781.7","7.000","8.000","9.500","5.300","0.100"
"51","2","8.300","7.841","0.244","-178.200","11703.9","7.000","8.000","9.380","5.264","0.102"
"52","2","8.200","7.694","0.249","-124.200","11638.0","7.000","8.000","9.260","5.228","0.104"
"53","2","8.100","7.715","0.254","-164.100","11562.6","7.000","8.000","9.140","5.192","0.106"
"54","2","8.000","7.572","0.259","-156.300","11492.6","7.000","8.000","9.020","5.156","0.108"
"55","2","8.000","7.513","0.265","-129.600","11428.1","7.000","8.000","8.900","5.120","0.110"
"56","2","8.000","7.489","0.270","-176.700","11355.6","7.000","8.000","8.780","5.084","0.112"
"57","2","8.000","7.343","0.275","-139.500","11297.0","7.000","8.000","8.660","5.048","0.114"
"58","2","8.000","7.343","0.280","-142.200","11232.4","7.000","8.000","8.540","5.012","0.116"
"59","2","8.000","7.258","0.285","-181.500","11167.1","7.000","8.000","8.420","4.976","0.118"
"60","2","8.000","7.141","0.291","-114.900","11111.0","7.000","8.000","8.300","4.940","0.120"
"61","2","8.000","7.170","0.296","-174.000","11044.2","7.000","8.000","8.180","4.904","0.122"
"62","2","8.000","7.028","0.302","-155.400","10981.4","7.000","8.000","8.060","4.868","0.124"
"63","2","8.000","6.990","0.308","-127.200","10921.4","7.000","8.000","7.940","4.832","0.126"
"64","2","8.000","6.993","0.313","-199.500","10849.5","7.000","8.000","7.820","4.796","0.128"
"65","2","8.000","6.838","0.319","-138.300","10785.8","8.000","8.000","7.700","4.760","0.130"
"66","2","8.000","6.894","0.325","-154.800","10717.7","8.000","8.000","7.580","4.724","0.132"
"67","2","8.000","6.831","0.332","-205.500","10641.8","8.000","8.000","7.460","4.688","0.134"
"68","2","8.000","6.736","0.338","-135.300","10575.6","8.000","8.000","7.340","4.652","0.136"
"69","2","8.000","6.799","0.344","-176.400","10500.7","8.000","8.000","7.220","4.616","0.138"
"70","2","8.000","6.737","0.351","-205.500","10423.5","8.000","8.000","7.100","4.580","0.140"
"71","2","8.000","6.666","0.357","-140.100","10354.9","8.000","8.000","6.980","4.544","0.142"
"72","2","8.000","6.736","0.364","-200.400","10278.3","8.000","8.000","6.860","4.508","0.144"
"73","2","8.000","6.654","0.370","-204.300","10201.2","8.000","8.000","6.740","4.472","0.146"
"74","2","8.000","6.622","0.377","-143.700","10132.8","8.000","8.000","6.620","4.436","0.148"
"75","2","8.000","6.711","0.384","-219.600","10055.7","8.000","9.000","6.500","4.400","0.150"
"76","2","8.000","6.610","0.390","-198.300","9979.5","8.000","9.000","6.499","4.398","0.152"
"77","2","8.000","6.615","0.397","-156.000","9910.9","8.000","9.000","6.498","4.395","0.154"
"78","2","8.000","6.685","0.404","-227.100","9834.3","8.000","9.000","6.496","4.393","0.156"
"79","2","8.000","6.604","0.411","-201.900","9757.7","8.000","9.000","6.495","4.391","0.158"
"80","2","8.000","6.595","0.418","-164.400","9688.7","8.000","9.000","6.494","4.388","0.160"
"81","2","8.000","6.689","0.425","-230.100","9611.7","8.000","9.000","6.493","4.386","0.162"
"82","2","8.000","6.600","0.432","-212.400","9532.7","8.000","9.000","6.492","4.384","0.164"
"83","2","8.000","6.593","0.439","-165.000","9462.1","8.000","9.000","6.491","4.381","0.166"
"84","2","8.000","6.703","0.446","-234.300","9384.3","8.000","9.000","6.489","4.379","0.168"
"85","2","8.000","6.604","0.453","-221.400","9302.8","8.000","9.000","6.488","4.376","0.170"
"86","2","8.000","6.596","0.460","-167.100","9229.0","8.000","9.000","6.487","4.374","0.172"
"87","2","8.000","6.723","0.468","-222.600","9151.6","8.000","9.000","6.486","4.372","0.174"
"88","2","8.000","6.661","0.475","-240.000","9067.8","8.000","9.000","6.485","4.369","0.176"
"89","2","8.000","6.584","0.482","-170.400","8989.5","8.000","9.000","6.484","4.367","0.178"
"90","2","8.000","6.738","0.489","-215.700","8912.8","8.000","9.000","6.482","4.365","0.180"
"91","2","8.000","6.700","0.496","-250.500","8828.7","8.000","9.000","6.481","4.362","0.182"
"92","2","8.000","6.604","0.504","-183.600","8745.5","8.000","9.000","6.480","4.360","0.184"
"93","2","8.000","6.722","0.511","-203.400","8668.2","8.000","9.000","6.479","4.358","0.186"
"94","2","8.000","6.744","0.518","-250.500","8584.8","8.000","9.000","6.478","4.355","0.188"
"95","2","8.000","6.645","0.526","-204.300","8498.0","8.000","9.000","6.476","4.353","0.190"
"96","2","8.000","6.696","0.533","-199.200","8416.7","8.000","9.000","6.475","4.351","0.192"
"97","2","8.000","6.769","0.540","-234.900","8335.4","8.000","9.000","6.474","4.348","0.194"
"98","2","8.000","6.702","0.548","-224.400","8247.1","8.000","9.000","6.473","4.346","0.196"
"99","2","8.000","6.695","0.555","-207.600","8158.7","8.000","9.000","6.472","4.344","0.198"
"100","2","8.000","6.745","0.563","-219.900","8076.5","8.000","9.000","6.471","4.341","0.200"
"101","2","8.000","6.754","0.570","-224.100","7989.2","8.000","9.000","6.469","4.339","0.202"
"102","2","8.000","6.727","0.577","-224.400","7897.1","8.000","9.000","6.468","4.336","0.204"
"103","2","8.000","6.729","0.585","-222.000","7807.3","8.000","9.000","6.467","4.334","0.206"
"104","2","8.000","6.753","0.592","-206.400","7720.6","8.000","9.000","6.466","4.332","0.208"
"105","2","8.000","6.784","0.600","-232.500","7628.9","8.000","9.000","6.465","4.329","0.210"
"106","2","8.000","6.777","0.608","-235.500","7534.7","8.000","9.000","6.464","4.327","0.212"
"107","2","8.000","6.738","0.615","-215.400","7446.0","8.000","9.000","6.462","4.325","0.214"
"108","2","8.000","6.796","0.623","-206.700","7387.5","8.000","9.000","6.461","4.322","0.216"
"109","2","8.000","6.845","0.630","-246.900","7329.3","8.000","9.000","6.460","4.320","0.218"
"110","2","8.000","6.786","0.638","-236.100","7249.8","8.000","9.000","6.459","4.318","0.220"
"111","2","8.000","6.747","0.645","-207.900","7176.6","8.000","9.000","6.458","4.315","0.222"
"112","2","8.000","6.843","0.653","-216.600","7105.9","8.000","9.000","6.456","4.313","0.224"
"113","2","8.000","6.870","0.661","-253.500","7031.1","8.000","9.000","6.455","4.311","0.226"
"114","2","8.000","6.803","0.668","-227.700","6958.8","8.000","9.000","6.454","4.308","0.228"
"115","2","8.000","6.810","0.676","-213.600","6889.5","8.000","9.000","6.453","4.306","0.230"
"116","2","8.000","6.873","0.684","-229.800","6822.1","8.000","9.000","6.452","4.304","0.232"
"117","2","8.000","6.876","0.691","-235.200","6749.7","8.000","9.000","6.451","4.301","0.234"
"118","2","8.000","6.854","0.699","-239.100","6674.6","8.000","9.000","6.449","4.299","0.236"
"119","2","8.000","6.834","0.707","-234.900","6600.8","8.000","9.000","6.448","4.296","0.238"
"120","2","8.000","6.832","0.714","-219.600","6528.7","9.000","9.000","6.447","4.294","0.240"
"121","2","8.000","6.875","0.722","-225.900","6454.3","9.000","9.000","6.446","4.292","0.242"
"122","2","8.000","6.890","0.730","-249.000","6374.9","9.000","9.000","6.445","4.289","0.244"
"123","2","8.000","6.837","0.738","-238.200","6295.2","9.000","9.000","6.444","4.287","0.246"
"124","2","8.000","6.815","0.746","-221.100","6217.2","9.000","9.000","6.442","4.285","0.248"
"125","2","8.000","6.859","0.753","-231.300","6140.7","9.000","9.000","6.441","4.282","0.250"
"126","2","8.000","6.873","0.761","-232.800","6061.4","9.000","9.000","6.440","4.280","0.252"
"127","2","8.000","6.873","0.769","-238.800","5978.9","9.000","9.000","6.439","4.278","0.254"
"128","2","8.000","6.834","0.777","-241.200","5897.2","9.000","9.000","6.438","4.275","0.256"
"129","2","8.000","6.821","0.785","-232.800","5817.0","9.000","9.000","6.436","4.273","0.258"
"130","2","8.000","6.839","0.793","-223.500","5738.8","9.000","9.000","6.435","4.271","0.260"
"131","2","8.000","6.889","0.801","-235.200","5658.1","9.000","9.000","6.434","4.268","0.262"
"132","2","8.000","6.906","0.809","-244.500","5574.9","9.000","9.000","6.433","4.266","0.264"
"133","2","8.000","6.878","0.817","-240.000","5492.0","9.000","9.000","6.432","4.264","0.266"
"134","2","8.000","6.884","0.825","-236.700","5410.5","9.000","9.000","6.431","4.261","0.268"
"135","2","8.000","6.889","0.833","-237.000","5330.7","9.000","9.000","6.429","4.259","0.270"
"136","2","8.000","6.937","0.841","-226.200","5250.3","9.000","9.000","6.428","4.256","0.272"
"137","2","8.000","6.981","0.849","-242.400","5167.8","9.000","9.000","6.427","4.254","0.274"
"138","2","8.000","6.990","0.857","-248.100","5084.6","9.000","9.000","6.426","4.252","0.276"
"139","2","8.000","6.974","0.865","-240.300","5001.4","9.000","9.000","6.425","4.249","0.278"
"140","2","8.000","6.997","0.874","-240.600","4919.4","9.000","9.000","6.424","4.247","0.280"
