11.03.2023; at 1:35:04 AM; with access level ;5; at type ;46; CIVIC 1st LH DOM SLL3; parameter for setpoint camers mgg threshold angel set; mgg_threshold_angel; changed to the value ;12 ;[°] ;user name: ;OperadorZF
11.03.2023; at 1:35:28 AM; with access level ;5; at type ;46; CIVIC 1st LH DOM SLL3; parameter for setpoint camers mgg threshold angel set; mgg_threshold_angel; changed to the value ;10 ;[°] ;user name: ;OperadorZF
11.03.2023; at 10:10:15 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for raw part pat down force setpoint; Ch1_R0218; changed to the value ;2 ;[kN] ;user name: ;ZapataF
11.03.2023; at 10:10:18 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for force pat down before process start (rot.); Ch1_R0356; changed to the value ;15 ;[kN] ;user name: ;ZapataF
11.03.2023; at 10:22:06 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for liftingt: distance; Ch1_R0124; changed to the value ;0.6 ;[mm] ;user name: ;ZapataF
11.03.2023; at 10:41:00 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for raw part pat down force setpoint; Ch1_R0218; changed to the value ;3 ;[kN] ;user name: ;ZapataF
11.03.2023; at 10:41:26 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for force monitoring clamping X1 selection; Ch2_R0340; changed to the value ;1 ; ;user name: ;ZapataF
11.03.2023; at 10:41:26 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for force monitoring clamping X1 min value force; Ch2_R0342; changed to the value ;20 ;[kN] ;user name: ;ZapataF
11.03.2023; at 10:41:26 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for force monitoring clamping X1 max value force; Ch2_R0341; changed to the value ;25 ;[kN] ;user name: ;ZapataF
11.03.2023; at 10:41:26 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for selection concentricity check; Ch1_R0420; changed to the value ;1 ; ;user name: ;ZapataF
11.03.2023; at 10:41:26 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for max_concentricity check; Ch1_R0421; changed to the value ;0.07 ;[mm] ;user name: ;ZapataF
11.03.2023; at 11:36:02 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for friction 1: set value force; Ch1_R0135; changed to the value ;9 ;[kN] ;user name: ;ZapataF
11.03.2023; at 11:36:04 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for friction 2: set value force; Ch1_R0145; changed to the value ;7 ;[kN] ;user name: ;ZapataF
11.03.2023; at 11:36:10 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for upsetting 1: set value force; Ch1_R0155; changed to the value ;9 ;[kN] ;user name: ;ZapataF
11.03.2023; at 11:36:13 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for upsetting 2: set value force; Ch1_R0165; changed to the value ;9 ;[kN] ;user name: ;ZapataF
11.03.2023; at 11:50:11 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for friction 1: set value force; Ch1_R0135; changed to the value ;11 ;[kN] ;user name: ;ZapataF
11.03.2023; at 11:50:14 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for friction 2: set value force; Ch1_R0145; changed to the value ;5 ;[kN] ;user name: ;ZapataF
11.03.2023; at 11:50:17 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for upsetting 1: set value force; Ch1_R0155; changed to the value ;11 ;[kN] ;user name: ;ZapataF
11.03.2023; at 11:50:19 AM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for upsetting 2: set value force; Ch1_R0165; changed to the value ;11 ;[kN] ;user name: ;ZapataF
11.03.2023; at 12:02:25 PM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for friction 1: set value force; Ch1_R0135; changed to the value ;9 ;[kN] ;user name: ;ZapataF
11.03.2023; at 12:02:28 PM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for upsetting 1: set value force; Ch1_R0155; changed to the value ;9 ;[kN] ;user name: ;ZapataF
11.03.2023; at 12:02:30 PM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for upsetting 2: set value force; Ch1_R0165; changed to the value ;9 ;[kN] ;user name: ;ZapataF
11.03.2023; at 12:12:51 PM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for friction 1: set value force; Ch1_R0135; changed to the value ;11 ;[kN] ;user name: ;ZapataF
11.03.2023; at 12:12:54 PM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for friction 2: set value force; Ch1_R0145; changed to the value ;7 ;[kN] ;user name: ;ZapataF
11.03.2023; at 12:12:57 PM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for upsetting 1: set value force; Ch1_R0155; changed to the value ;11 ;[kN] ;user name: ;ZapataF
11.03.2023; at 12:13:00 PM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for upsetting 2: set value force; Ch1_R0165; changed to the value ;11 ;[kN] ;user name: ;ZapataF
11.03.2023; at 12:24:22 PM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for friction 1: set value force; Ch1_R0135; changed to the value ;8 ;[kN] ;user name: ;ZapataF
11.03.2023; at 12:24:24 PM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for friction 2: set value force; Ch1_R0145; changed to the value ;8 ;[kN] ;user name: ;ZapataF
11.03.2023; at 12:24:26 PM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for upsetting 1: set value force; Ch1_R0155; changed to the value ;8 ;[kN] ;user name: ;ZapataF
11.03.2023; at 12:24:28 PM; with access level ;2; at type ;45; CIVIC 1st LH DOM SLL3; parameter for upsetting 2: set value force; Ch1_R0165; changed to the value ;8 ;[kN] ;user name: ;ZapataF
